prediction	target	loss	dist
t a   k u t o m b a	t a   k u t o m b a	0.0681861937046051	0
s o k a k a	s o k a k a	0.06376458704471588	0
k u p u l u k a	k u p u l u k a	0.06503394991159439	0
t a   k u s a n g a n a  	t a   k u s a n g a n a  	0.06551416963338852	0
k u s u a m a	k u s u a m a	0.06546933948993683	0
s i m b a k a	s i m b a k a	0.06644128262996674	0
t a   k u t a n d a	t a   k u t a n d a	0.06559541821479797	0
k e   v o v a	k e   v o v a	0.06238378584384918	0
k e   t s u b a	k e   t s u b a	0.0679670125246048	0
t o m a k a	t o m a k a	0.06622452288866043	0
t a   k u t s u b u l a	t a   k u t s u b u l a	0.06738699227571487	0
k u s a k u m u n a	k u s a k u m u n a	0.06479019671678543	0
t a n g a k a	t a n g a k a	0.06411786377429962	0
t a   k u s u a m a	t a   k u s u a m a	0.06589943915605545	0
t a   k u t a t u k a  	t a   k u t a t u k a  	0.06510387361049652	0
k u p a s u k a	k u p a s u k a	0.06349001824855804	0
s e m b a k a	s e m b a k a	0.06738314032554626	0
k u s a d i s a	k u s a d i s a	0.06609337776899338	0
k e   t o m b o l a	k e   t o m b o l a	0.06977946311235428	0
k e   s u n g i k a	k e   s u n g i k a	0.06791258603334427	0
t a   k u t u t a	t a   k o t u t a	0.6364725828170776	1
k u s u b a	k u s u b a	0.06680438667535782	0
t a   k u t o l a	t a   k u t o l a	0.06634245067834854	0
t a   k u t u m b u l a	t a   k u t u m b u l a	0.0681767389178276	0
t a   k u t e n s i k a	t a   k u t e n s i k a	0.06659061461687088	0
t u l a k a	t u l a k a	0.06331504136323929	0
k u s e m b a	k u s e m b a	0.0689169317483902	0
k e   t o m b o k a	k e   t o m b o k a	0.06906136870384216	0
k e   t a m b u l a	k e   t a m b u l a	0.06823264807462692	0
t a   k u t s u m a	t a   k u t s u m a	0.0673941969871521	0
s u m u n a k a	s u m u n a k a	0.06578195095062256	0
t e z a k a	t e z a k a	0.06349977105855942	0
k e   s u n d a	k e   s u n d a	0.06746706366539001	0
s i n g a k a	s i n g a k a	0.06515558063983917	0
k e   t u m b u d i l a	k e   t u m b u d i l a	0.06716688722372055	0
k u s i m b a	k u s i m b a	0.06818771362304688	0
k u s i m b i d i l a	k u s i m b i d i l a	0.0667758584022522	0
t o n t a k a	t o n t a k a	0.06605063378810883	0
t a   k u s e v a	t a   k u s e v a	0.0651734247803688	0
k u s u t u k a	k u s u t u k a	0.06509693711996078	0
k e   t u n g i s a  	k e   t u n g i s a  	0.06841090321540833	0
t a   k u t e k i s a	t a   k u t e k i s a	0.06712330132722855	0
k e   t o n d a	k e   t o n d a	0.06801924109458923	0
t a   k u t a b u l a	t a   k u t a b u l a	0.06670407205820084	0
t a   k u t s u b a	t a   k u t s u b a	0.0673118606209755	0
k u t i l u m u n a	k u t i l u m u n a	0.06620832532644272	0
k e   s a l a	k e   s a l a	0.06458757817745209	0
k e   t i m a	k e   t i m a	0.06773325800895691	0
t u a d i s a k a	t u a d i s a k a	0.0642295628786087	0
t o n d a k a	t o n d a k a	0.06592722237110138	0
k u z i e t a	k u z i e t a	0.06439744681119919	0
k e   t s o m a	k e   t s o m a	0.06875693798065186	0
k e   t u b a	k e   t u b a	0.0673147439956665	0
t a   k u d i a	t a   k u d i a	0.06487822532653809	0
k u s e s a	k u s e s a	0.06719545274972916	0
t o b o k a k a	t o b o k a k a	0.06527706980705261	0
k u t o m b o k a	k u t o m b o k a	0.06860431283712387	0
k u s a n a	k u s a n a	0.06483900547027588	0
k u s o k u m u n a	k u s o k u m u n a	0.06627199798822403	0
k e   t u n g a	k e   t u n g a	0.06755123287439346	0
k e   p i d i l a	k e   p i d i l a	0.06715880334377289	0
k e   s u m u n a	k e   s u m u n a	0.06812383234500885	0
t a   k u s u t u k a	t a   k u s u t u k a	0.06582891941070557	0
k e   s a v u k i s a  	k e   s a v u k i s a  	0.064212366938591	0
k u t o m b a	k u t o m b a	0.06900911033153534	0
k u t i n g u n a	k u t i n g u n a	0.06756922602653503	0
k e   t e l e m i s a	k e   t e l e m i s a	0.06793903559446335	0
k e   t o b o l a	k e   t o b o l a	0.06886788457632065	0
s u s u m u k a k a	s u s u m u k a k a	0.06319146603345871	0
t e n d a k a	t e n d a k a	0.06594964861869812	0
s u n z u l a k a	s u n z u l a k a	0.06406007707118988	0
t a d i s a k a	t a d i s a k a	0.0644288957118988	0
k u s u k u l a	k u s u k u l a	0.06514181196689606	0
k e   s a l a s a n a	k e   s a l a s a n a	0.06354964524507523	0
s u n g a m a k a	s u n g a m a k a	0.06445743143558502	0
t a   k u t o t a	t a   k u t o t a	0.06647287309169769	0
k u t a n g a	k u t a n g a	0.06531311571598053	0
k u t u l u l a	k u t u l u l a	0.06660788506269455	0
k u s e n g u l a	k u s e n g u l a	0.06819075345993042	0
k u s a s u k a	k u s a s u k a	0.06397668272256851	0
t u m b u l a k a	t u m b u l a k a	0.06706774979829788	0
k u p o l a	k u p o l a	0.06571315973997116	0
k e   t e l e k a	k e   t e l e k a	0.06731121242046356	0
k u t e m o n a	k u t e m o n a	0.06891308724880219	0
k u s a n d u k a	k u s a n d u k a	0.06513577699661255	0
t u n g u l u l a k a	t u n g u l u l a k a	0.06493750959634781	0
k e   t a d i s a	k e   t a d i s a	0.06692676246166229	0
n w a k a	n w a k a	0.059497375041246414	0
t a   k u t a	t a   k u t a	0.06493836641311646	0
k e   s i v i k a	k e   s i v i k a	0.06499598175287247	0
s a l a k a	s a l a k a	0.06126857176423073	0
k u t u n g i s a  	k u t u n g i s a  	0.06786402314901352	0
s o n g a k a	s o n g a k a	0.0662347748875618	0
t a   k u p u l u k a	t a   k u p u l u k a	0.0657726302742958	0
s i k i m i s a k a	s i k i m i s a k a	0.06474746018648148	0
k e   s u m u k a	k e   s u m u k a	0.06730800867080688	0
k u s a m p u k a	k u s a m p u k a	0.0654037594795227	0
t a   k u t i l u m u n a	t a   k u t i l u m u n a	0.06646832078695297	0
k e   s i a m a	k e   s i a m a	0.06630710512399673	0
t a   k u s e s a	t a   k u s e s a	0.06694396585226059	0
s u e k a k a	s u e k a k a	0.063789501786232	0
t a   k u s u k a	t a   k u s u k a	0.06583108752965927	0
k u t o t a	k u t o t a	0.06613969057798386	0
p a s u l a k a	p a s u l a k a	0.06325258314609528	0
t u t a k a	t u t a k a	0.06404358148574829	0
t i m b u l a k a	t i m b u l a k a	0.06706983596086502	0
t a   k u s o k a	t a   k u s o k a	0.06660638004541397	0
