prediction	target	loss	dist
n g i b u l a	n g i b u l a	0.07509243488311768	0
b a y a r e k a	b a y a r e k a	0.07412517815828323	0
s i z o e	s i z o e	0.07338535785675049	0
u z o r e k i s a	u z o r e k i s a	0.07390490919351578	0
b a z o q a l a	b a z o q a l a	0.07391577959060669	0
b a z o h a u f i	b a z o h a u f i	0.07307234406471252	0
s i z o r e k a	s i z o r e k a	0.07412054389715195	0
n i t h u s a	n i t h u s a	0.07398736476898193	0
u h a u f i	u h a u f i	0.07237660139799118	0
n g i h u l a a	n g i h u l a a	0.07305112481117249	0
s i y a e b e	s i y a e b e	0.07492104917764664	0
b a t l o o	b a t l o o	0.07122828811407089	0
u y a h a u f i	u y a h a u f i	0.07367527484893799	0
b a z o l u m e l a	b a z o l u m e l a	0.07408834248781204	0
n i y a q a l a	n i y a q a l a	0.07485038042068481	0
i i t h u t e a	i t h u t e e a	0.7820263504981995	2
u z o q e t e	u z o q e t e	0.07475303113460541	0
b a z o r e k i s a	b a z o r e k i s a	0.07388134300708771	0
n i p h o m o l o	n i p h o m o l o	0.07374900579452515	0
n g i e m a	n g i e m a	0.07515919953584671	0
u z o b o r o k o	u z o b o r o k o	0.07219558954238892	0
s i z o e b e	s i z o e b e	0.07475173473358154	0
n g i z o h u l a a	n g i z o h u l a a	0.0732751414179802	0
u y a e b e	u y a e b e	0.07506666332483292	0
s i z o p h o m o l o	s i z o p h o m o l o	0.0736016109585762	0
n i q a l a	n i q a l a	0.07434409111738205	0
u y a b a l a	u y a b a l a	0.07481825351715088	0
s i t l o o	s i t l o o	0.07169003039598465	0
n i l u l a	n i l u l a	0.07420774549245834	0
b a l u m e l a	b a l u m e l a	0.0739767849445343	0
s i u t l o a	s i u t l o a	0.07328568398952484	0
u z o b u l a	u z o b u l a	0.07512784749269485	0
u z o e t s a	u z o e t s a	0.0748375877737999	0
n g i e b e	n g i e b e	0.07472627609968185	0
u p h o m o l o	u p h o m o l o	0.07330912351608276	0
u y a l u m e l a	u y a l u m e l a	0.07466630637645721	0
n g i y a l u m e l a	n g i y a l u m e l a	0.07476704567670822	0
n g i t l o o	n g i t l o o	0.07225150614976883	0
u z o u t l o a	u z o u t l o a	0.07383652031421661	0
b a z o s u t u t s a	b a z o s u t u t s a	0.07441449165344238	0
s i z o b a l a	s i z o b a l a	0.07426480948925018	0
u y a h u l a a	u y a h u l a a	0.07409511506557465	0
u y a e t s a	u y a e t s a	0.07533053308725357	0
b a t h u s a	b a t h u s a	0.07359251379966736	0
s i q e t e	s i q e t e	0.07469844818115234	0
n i b u l a	n i b u l a	0.07535015791654587	0
n g i f o f a	n g i f o f a	0.07388359308242798	0
u y a e t s a	u y a e t s a	0.07536256313323975	0
u y a q a l a	u y a q a l a	0.07476428151130676	0
s i y a q a l a	s i y a q a l a	0.07467107474803925	0
n i y a b u l a	n i y a b u l a	0.07554512470960617	0
n g i u t l o a	n g i u t l o a	0.07353222370147705	0
u y a r e k i s a	u y a r e k i s a	0.07425841689109802	0
n g i y a e b e	n g i y a e b e	0.07474230229854584	0
b a z o f o f a	b a z o f o f a	0.07398976385593414	0
n i y a y a	n i y a y a	0.07492265850305557	0
