prediction	target	loss	dist
n g i k h o m b i s e	n g i k h o m b i s e	0.06686805933713913	0
n g e n z e k e	n g e n z e k e	0.06471730768680573	0
n g i s a l a	n g i s a l a	0.06746648252010345	0
n g i z o t h a n d a	n g i z o t h a n d a	0.06847680360078812	0
n g i c u l a	n g i c u l a	0.06811714172363281	0
n g i d l a l a	n g i d l a l a	0.06875631213188171	0
n g i b o n e	n g i b o n e	0.06907832622528076	0
n g i z o c h a s i s a	n g i z o c h a s i s a	0.06648129969835281	0
n g i y o f u n a	n g i y o f u n a	0.06883237510919571	0
n g i z o f u n d i s a	n g i z o f u n d i s a	0.06828571110963821	0
n g i n g e n a	n g i n g e n a	0.06910603493452072	0
n g i y o m a m a t h e k a	n g i y o m a m a t h e k a	0.0647493302822113	0
n g i z o q o n d a	n g i z o q o n d a	0.06945700943470001	0
n g i y o b h a l a	n g i y o b h a l a	0.06955389678478241	0
n g i y o c u l a	n g i y o c u l a	0.06867506355047226	0
n g i y o q a b u l a	n g i y o q a b u l a	0.06804708391427994	0
n g i z o h l e k a	n g i z o h l e k a	0.06792003661394119	0
n g i z o k h o h l w a	n g i z o k h o h l w a	0.06718864291906357	0
n g a t h u m a	n g a t h u m a	0.06754748523235321	0
n g i z o k w e p h u k a	n g i z o k w e p h u k a	0.06547509878873825	0
n g i f u n d i s e	n g i f u n d i s e	0.06683047860860825	0
n g i p h e k e	n g i p h e k e	0.06646156311035156	0
n g i z o k w e n z e k a	n g i z o k w e n z e k a	0.06481640040874481	0
n g i p h i n d e	n g i p h i n d e	0.06803442537784576	0
n g i q a b u l a	n g i q a b u l a	0.09344416111707687	0
n g i s a l e	n g i s a l e	0.06617674976587296	0
n g i y o k w a n d a	n g i y o k w a n d a	0.06616700440645218	0
n g i l a l a	n g i y a l a l a	0.5297006368637085	2
n g i z o k h u m b u l a	n g i z o k h u m b u l a	0.06756710261106491	0
n g i l a l e	n g i l a l e	0.06774032860994339	0
n g i f e	n g i f e	0.06817249208688736	0
n g a s h a y e l a	n g a s h a y e l a	0.0649663507938385	0
n g i v u m e	n g i v u m e	0.0674179345369339	0
n g i n q o b e	n g i n q o b e	0.06804358214139938	0
n g i y o s h o	n g i y o s h o	0.06904346495866776	0
n g i t h e n g i s e	n g i t h e n g i s e	0.0660863146185875	0
n g i c u l e	n g i c u l e	0.0668698400259018	0
n g i y o t h a t h a	n g i y o t h a t h a	0.0679590180516243	0
n g i z o l a l a   p h a n s i	n g i z o l a l a   p h a n s i	0.06487298011779785	0
n g i y o m e m a	n g i y o m e m a	0.06735306978225708	0
n g i z o v u l a	n g i z o v u l a	0.06970097124576569	0
n g a z a	n g e z a	1.072426438331604	1
n g i y o k u f a	n g i y o k u f a	0.06696852296590805	0
n g e h l i s a	n g e h l i s a	0.06692804396152496	0
n g i q a b u l e	n g i q a b u l e	0.06640761345624924	0
n g i p h u z e	n g i p h u z e	0.06877732276916504	0
n g i y o b h e k a	n g i y o b h e k a	0.0688253715634346	0
n g a q o n d a	n g a q o n d a	0.06759956479072571	0
n g i b u l a l a	n g i b u l a l a	0.06914792954921722	0
n g i t h o l e	n g i t h o l e	0.06834772974252701	0
n g i z o n i k a	n g i z o n i k a	0.06889615207910538	0
n g i z o p h u m a	n g i z o p h u m a	0.06948308646678925	0
n g i z e	n g i z i l e	1.534224510192871	2
n g a h l a l a   p h a n s i	n g a h l a l a   p h a n s i	0.06364613026380539	0
n g i y o g i j i m a	n g i y o g i j i m a	0.0671083852648735	0
n g i y o k h o h l w a	n g i y o k h o h l w a	0.06722385436296463	0
n g i z o n q o b a	n g i z o n q o b a	0.06922450661659241	0
n g e n z e k a	n g a n z e k a	0.7332065105438232	1
n g a c a b a n g a	n g a c a b a n g a	0.06531859189271927	0
n g i f u n d e	n g i f u n d e	0.0672566220164299	0
n g a z i s a	n g a z i s a	0.0667027160525322	0
n g i z o h l a n g a n a	n g i z o h l a n g a n a	0.06803752481937408	0
n g a f u n d a	n g a f u n d a	0.06701076775789261	0
n g i z o k u l w a	n g i z o k u l w a	0.0659974068403244	0
n g i z o s h a y e l a	n g i z o s h a y e l a	0.06704096496105194	0
n g a t h e n g i s a	n g a t h e n g i s a	0.0661286935210228	0
n g a f u n a	n g a f u n a	0.06715478748083115	0
n g i t h u m a	n g i t h u m a	0.06892972439527512	0
n g i y o c a b a n g a	n g i y o c a b a n g a	0.06707078218460083	0
n g i y o c h a s i s a	n g i y o c h a s i s a	0.0663100928068161	0
n g i l a l a   p h a n s i	n g i l a l a   p h a n s i	0.0640331581234932	0
n g a k h u l u m a	n g a k h u l u m a	0.0660911500453949	0
n g a s h o	n g a s h o	0.06658782064914703	0
n g i k w a z e	n g i y a z i s e	0.7925276756286621	4
n g i z o t h u m a	n g i z o t h u m a	0.06947934627532959	0
n g a n a k a	n g a n a k a	0.06566321849822998	0
n g e p h u k a	n g i y e p h u k a	0.7704570293426514	2
n g a l a h l e k e l w a	n g a l a h l e k e l w a	0.06387476623058319	0
