prediction	target	loss	dist
a b o m i n í	a b o m i n í	0.06194324046373367	0
d e s t r i í	d e s t r i í	0.062498368322849274	0
d i s t i n g i m	d i s t i n g i m	0.06210523098707199	0
m a l p a r l a r e m	m a l p a r l a r e m	0.06640958786010742	0
c e r n é s	c e r n é s	0.06289633363485336	0
v i o l à r e m	v i o l à r e m	0.06350094825029373	0
d e m o s t r e m	d e m o s t r e m	0.06624889373779297	0
u n i v e r s a l i t z e s s i n	u n i v e r s a l i t z e s s i n	0.06134792044758797	0
m o q u e s	m o q u e s	0.05933566018939018	0
f a l s i f i c a r a n	f a l s i f i c a r a n	0.062159471213817596	0
d e t e c t i	d e t e c t i	0.06373198330402374	0
d u t x a r é	d u t x a r é	0.06081908196210861	0
m a t é s s i m	m a t é s s i m	0.061217598617076874	0
r e e l e g i r é	r e e l e g i r é	0.0605630986392498	0
c o n t e n i e n	c o n t e n i e n	0.062468528747558594	0
c o l · l o q u i s	c o l · l o q u i s	0.059595800936222076	0
d e s t r i a r i a	d e s t r i a r i a	0.06483311206102371	0
r e s o l g u é s	r e s o l g u é s	0.060852695256471634	0
b o t r í e u	b o t r í e u	0.06368264555931091	0
f r e n i	f r e n i	0.0630360096693039	0
e x a g e r i	e x a g e r i	0.059473294764757156	0
n a i x i a	n a i x i a	0.05821668729186058	0
a g u s a r à s	a g u s a r à s	0.060628123581409454	0
i n j e c t a r i e n	i n j e c t a r i e n	0.06239375099539757	0
h a b i l i t e m	h a b i l i t e m	0.062105439603328705	0
e n f a d a r é	e n f a d a r é	0.06317337602376938	0
x o p à v e u	x o p à v e u	0.06070801615715027	0
s u b j u g u e s s i n	s u b j u g u e s s i n	0.054914817214012146	0
o c u p a r í e u	o c u p a r í e u	0.06226745992898941	0
s o r p r e n i e s	s o r p r e n i e s	0.06335394829511642	0
i n s c r i u s	i n s c r i u s	0.05916900932788849	0
t a l l e u	t a l l e u	0.06581442058086395	0
p r o t e g í r e m	p r o t e g í r e m	0.06371498852968216	0
s u b h a s t e u	s u b h a s t e u	0.05981657654047012	0
u r b a n i t z a v e n	u r b a n i t z a v e n	0.0645361989736557	0
c a r b o n i t z à r e m	c a r b o n i t z à r e m	0.06474610418081284	0
n e g a r i a	n e g a r i a	0.06272100657224655	0
e n l l u e r n a r é	e n l l u e r n a r é	0.06379514187574387	0
t o r n e m	t o r n e m	0.06810574978590012	0
r e a p a r e g u é s s i m	r e a p a r e g u é s s i m	0.05949772521853447	0
s e g u i u	s e g u i u	0.05722593888640404	0
s u ï c i d i n	s u ï c i d i n	0.057547349482774734	0
m a n u m e t i e n	m a n u m e t i e n	0.06327373534440994	0
s i m p l i f i c o	s i m p l i f i c o	0.060547031462192535	0
t r a n s f e r i e n	t r a n s f e r i e n	0.06457147747278214	0
r e b u t j a v a	r e b u t j a v a	0.060782093554735184	0
r e f r i g e r à r e u	r e f r i g e r à r e u	0.06252749264240265	0
r e q u e r i r i a	r e q u e r i r i a	0.06070986017584801	0
o r i e n t a l i t z à v e m	o r i e n t a l i t z à v e m	0.06424548476934433	0
q u e d a r e s	q u e d a r e s	0.06038990989327431	0
a r r e g l a r i e n	a r r e g l a r i e n	0.06467761844396591	0
e l a b o r a r à s	e l a b o r a r à s	0.06506633013486862	0
o r d e n i s	o r d e n i s	0.06390896439552307	0
l l o a r í e m	l l o a r í e m	0.0655413419008255	0
c a p o l é s	c a p o l é s	0.06335365772247314	0
p o s i n	p o s i n	0.06459204107522964	0
b r o d a r í e m	b r o d a r í e m	0.06464530527591705	0
c o r r e g e i x i s	c o r r e g e i x i s	0.05837317928671837	0
s o c a r r à r e u	s o c a r r à r e u	0.06301990151405334	0
p r o n u n c i ï	p r o n u n c i ï	0.06130107492208481	0
a s s e t j a v e s	a s s e t j a v e s	0.06120036914944649	0
c r u i x í	c r u i x í	0.05581853538751602	0
p u d i e s	p u d i e s	0.0617474727332592	0
p r o p a g à v e m	p r o p a g à v e m	0.0632040798664093	0
e x a s p e r a r í e m	e x a s p e r a r í e m	0.06354716420173645	0
c o r r e u	c o r r e u	0.06320687383413315	0
b a d a l l à v e u	b a d a l l à v e u	0.06281771510839462	0
e s c a l é s	e s c a l é s	0.06248168647289276	0
c e s s í	c e s s í	0.05835142359137535	0
b a r a l l e s s i n	b a r a l l e s s i n	0.06307001411914825	0
a n c o r i	a n c o r i	0.06291134655475616	0
e x e c u t a	e x e c u t a	0.060877930372953415	0
t i t l l a r é	t i t l l a r é	0.06506061553955078	0
m a t e r i a l i t z a v e s	m a t e r i a l i t z a v e s	0.06436406821012497	0
m e c a n i t z a r	m e c a n i t z a r	0.06511693447828293	0
d e v o r e m	d e v o r e m	0.06542855501174927	0
a d o b e u	a d o b e u	0.06390346586704254	0
p r o s p e r a v e s	p r o s p e r a v e s	0.06565757840871811	0
m u t e m	m u t e m	0.06379347294569016	0
e n t r e g u i n	e n t r e g u i n	0.062338076531887054	0
d a n s a r í e u	d a n s a r í e u	0.06369727849960327	0
u n i r a n	u n i r a n	0.06253985315561295	0
b a r r e g e m	b a r r e g e m	0.062418803572654724	0
a t o m i t z à v e u	a t o m i t z à v e u	0.06399715691804886	0
v o l é s	v o l é s	0.06283514946699142	0
m i l i t a r i t z a r í e u	m i l i t a r i t z a r í e u	0.06399539113044739	0
r e f r e s c a v e s	r e f r e s c a v e s	0.06306110322475433	0
d e p o s a r e u	d e p o s a r e u	0.0658818930387497	0
r o n r o n e g i n	r o n r o n e g i n	0.06388970464468002	0
d i s p u t a r à	d i s p u t a r à	0.06279412657022476	0
d i s t e n d r a n	d i s t e n d r a n	0.0626172125339508	0
