prediction	target	loss	dist
e n c o n v e n e n c e s	e n c o n v e n e n c e s	0.05962267890572548	0
e s c a r t e r a i	e s c a r t e r a i	0.06384524703025818	0
f i n i r o n t	f i n i r o n t	0.06277695298194885	0
l u r r a s s i e z	l u r r a s s i e z	0.060106970369815826	0
c h a r g e a s s e n t	c h a r g e a s s e n t	0.06246275454759598	0
m o n t o i s	m o n t o i s	0.06469077616930008	0
v o l l e r o i t	v o l l e r o i t	0.06344427913427353	0
p e c h e z	p e c h e z	0.06587991863489151	0
o p e r a s s e	o p e r a s s e	0.06119425967335701	0
c e l e r e z	c e l e r e z	0.062276653945446014	0
c o u r r o u c e r o i e n t	c o u r r o u c e r o i e n t	0.06353603303432465	0
c o m b i n a s s i e z	c o m b i n a s s i e z	0.060859084129333496	0
c o n t r i b u e r o i e n t	c o n t r i b u e r o i e n t	0.06327018141746521	0
b a i s l e	b a i s l e	0.06143832951784134	0
h a s t e	h a s t e	0.06430386751890182	0
d e f f i i o n s	d e f f i i o n s	0.06047172471880913	0
c o u r r o u ç o n s	c o u r r o u ç o n s	0.06204932928085327	0
l e v e n t	l e v e n t	0.06297856569290161	0
v e r i f i e r o n t	v e r i f i e r o n t	0.0622965507209301	0
a c o u s t r e r o i s	a c o u s t r e r o i s	0.06459975987672806	0
c a c h e	c a c h e	0.06717947125434875	0
p a r t i c i p o i s	p a r t i c i p o i s	0.06468567997217178	0
r e v e r e r a y	r e v e r e r a y	0.06341864168643951	0
e s p e r e	e s p e r e	0.06294706463813782	0
r o b b a s s i e z	r o b b a s s i e z	0.060355983674526215	0
p o u r f o r c e r o y t	p o u r f o r c e r o y t	0.06499924510717392	0
e s v a n t e r o i s	e s v a n t e r o i s	0.06327585130929947	0
d e t e s t e r o i e n t	d e t e s t e r o i e n t	0.06327114999294281	0
t r a v a i l l o i s	t r a v a i l l o i s	0.0634337067604065	0
d i s n i e z	d i s n i e z	0.06070241332054138	0
a l o n g e a s s i o n s	a l o n g e a s s i o n s	0.06023722514510155	0
t o u r m e n t e	t o u r m e n t e	0.06417956203222275	0
f l e s c h i s s o i e n t	f l e s c h i s s o i e n t	0.05930108204483986	0
c h e v a u c h e	c h e v a u c h e	0.06461779028177261	0
v o u s   e n t r e d e m a n d e z	v o u s   e n t r e d e m a n d e z	0.05955146625638008	0
a g u y s a s t e s	a g u y s a s t e s	0.06081010401248932	0
g e l l e	g e l l e	0.06150738522410393	0
e m p e s c h e r e n t	e m p e s c h e r e n t	0.06358164548873901	0
s o u l a i g e s	s o u l a i g e s	0.063371941447258	0
f e r o i s	f e r o i s	0.059492237865924835	0
f o m e n t e	f o m e n t e	0.06246519833803177	0
d i l a t i o n s	d i l a t i o n s	0.06208675354719162	0
p r e s u p p o s a s s e n t	p r e s u p p o s a s s e n t	0.061776258051395416	0
e x p l i c q u e r o i e n t	e x p l i c q u e r o i e n t	0.062313761562108994	0
a y d e r o y e n t	a y d e r o y e n t	0.06457825750112534	0
r e t o u r n e r o i e n t	r e t o u r n e r o i e n t	0.06375502794981003	0
a r r e n g e o y e n t	a r r e n g e o y e n t	0.0621633380651474	0
a f f i e s	a f f i e s	0.061711493879556656	0
a l i m e n t o y e n t	a l i m e n t o y e n t	0.06251489371061325	0
s u p e r s e d e r i o n s	s u p e r s e d e r i o n s	0.06158670410513878	0
d e s p l o y e r	d e s p l o y e r	0.06343227624893188	0
a q u i t t o y s	a q u i t t o y s	0.06429126858711243	0
q u e s t e s	q u e s t e s	0.06328681111335754	0
