prediction	target	loss	dist
s e r v ì s	s e r v ì s	0.06479460746049881	0
s e g n i	s e g n i	0.06693196296691895	0
s c j a d ì n	s c j a d ì n	0.06974323838949203	0
m a l f a s a r è s	m a l f a s a r è s	0.06537175923585892	0
t e n t a v i s	t e n t a v i s	0.06984705477952957	0
t r i v e l a r ì n	t r i v e l a r ì n	0.0697084441781044	0
s o f l a v i s	s o f l a v i s	0.06731952726840973	0
s c j a l d i s	s c j a l d i s	0.06808289885520935	0
c o n v i d a r à	c o n v i d a r à	0.0692860335111618	0
a r m a v i	a r m a v i	0.069851353764534	0
c e n a r e s s i n	c e n a r e s s i n	0.06875345855951309	0
m e n a v e	m e n a v e	0.07024538516998291	0
v e n d e m a r i s	v e n d e m a r i s	0.06908722221851349	0
s u p a r ì n	s u p a r ì n	0.06901716440916061	0
b u s s a v i n	b u s s a v i n	0.06776309013366699	0
s c u r t a v i s	s c u r t a v i s	0.06898023933172226	0
s c r i v e v i	s c r i v e v i	0.06567143648862839	0
d a v i s	d a v i s	0.06786850094795227	0
s u p à s	s u p à s	0.06543511152267456	0
f a s s a r a n	f a s s a r a n	0.06515345722436905	0
s v o l a r e s s i n	s v o l a r e s s i n	0.06754272431135178	0
s p u d i n	s p u d i n	0.06907939910888672	0
l a r è s	l a r è s	0.06646602600812912	0
v e n d e m a s s i n	v e n d e m a s s i n	0.0685441717505455	0
l u s i r e s s i s	l u s i r e s s i s	0.06324347108602524	0
p a r a r è s	p a r a r è s	0.06791559606790543	0
v i o d a r e s s i n	v i o d a r e s s i n	0.06654822081327438	0
l a s s i n	l a s s i n	0.0668475478887558	0
m e n a ç a s s i n	m e n a ç a s s i n	0.06774263083934784	0
n e t e	n e t e	0.06786386668682098	0
s a n g l o c i	s a n g l o c i	0.06794976443052292	0
t i e s s e v i s	t i e s s e v i s	0.06283153593540192	0
j u d i s	j u d i s	0.06811945885419846	0
b a g n â	b a g n â	0.06650681048631668	0
s u d e	s u d e	0.06559531390666962	0
f i n i r è s	f i n i r è s	0.06462027132511139	0
c o r i	c o r i	0.0697249323129654	0
