prediction	target	loss	dist
n é   m o u o j o u m s   p a é	n é   m o u o j o u m s   p a é	0.07501830905675888	0
m o u o j u e	m o u o j u e	0.07635494321584702	0
m a u n g î t e n t	m a u n g î t e n t	0.07454456388950348	0
a d o u o c h i s	a d o u o c h i s	0.07613541185855865	0
s e y o u m s	s e y o u m s	0.07110628485679626	0
a d o u o c h e n t	a d o u o c h e n t	0.07677391171455383	0
m a u n g e r e i s	m a u n g e r e i s	0.07576649636030197	0
m o u o g i s s i o u m s	m o u o g i s s i o u m s	0.07534908503293991	0
m a u n g e i s	m a u n g e i s	0.07574257254600525	0
a c a t e i t	a c a t e i t	0.07553756982088089	0
a d o u o c h e i t	a d o u o c h e i t	0.07654540240764618	0
a c a t î t e s	a c a t î t e s	0.07367677241563797	0
m a u n g e i e n t	m a u n g e i e n t	0.07510948926210403	0
a c a t a e z	a c a t a e z	0.07556472718715668	0
s e r i a e z	s e r i a e z	0.07375548779964447	0
a c a t e r i o u m s	a c a t e r i o u m s	0.07482489943504333	0
e s	s o u m e s	2.635359287261963	4
f e û t e n t	f e û t e n t	0.07087171822786331	0
a c a t î t e n t	a c a t î t e n t	0.07466565072536469	0
m a u n g i o u m s	m a u n g i o u m s	0.07507703453302383	0
a c a t i s	a c a t i s	0.07501887530088425	0
n é   s e y a e z   p a é	n é   s e y a e z   p a é	0.07235179096460342	0
n é   a c a t o u m s   p a é	n é   a c a t o u m s   p a é	0.07468254864215851	0
m a u n g e r o u n t	m a u n g e r o u n t	0.07514096051454544	0
m o u o g e r a e z	m o u o g e r a e z	0.07637514919042587	0
a d o u o c h e r a	a d o u o c h e r a	0.07622944563627243	0
n é   a d o u o c h a e z   p a é	n é   a d o u o c h a e z   p a é	0.0756056010723114	0
é t e i s	é t e i s	0.0725356936454773	0
a d o u o c h î t	a d o u o c h î t	0.07548987865447998	0
m a u n j a e z	m a u n j a e z	0.07529743760824203	0
a d o u o c h i s s e n t	a d o u o c h i s s e n t	0.07588465511798859	0
m o u o g e i s	m o u o g e i s	0.07645823806524277	0
m a u n g î t	m a u n g î t	0.07404374331235886	0
a d o u o c h e i e n t	a d o u o c h e i e n t	0.07614321261644363	0
n é   m a u n j o u m s   p a é	n é   m a u n j o u m s   p a é	0.07430585473775864	0
m o u o g i a e z	m o u o g i a e z	0.07637165486812592	0
m a u n j u e	m a u n j u e	0.07518655061721802	0
s e r e i s	s e r e i s	0.0741165354847908	0
a c a t e n t	a c a t e n t	0.07583931088447571	0
a d o u o c h o u m s	a d o u o c h o u m s	0.07620172202587128	0
f e u t	f e û t	1.2079142332077026	1
a c a t e r e i s	a c a t e r e i s	0.07559232413768768	0
m a u n g î t	m a u n g î t	0.07401302456855774	0
a c a t e i e n t	a c a t e i e n t	0.07502196729183197	0
n é   m a u n j a e z   p a é	n é   m a u n j a e z   p a é	0.07453492283821106	0
s e i e n t	s e i e n t	0.07246285676956177	0
a c a t e r o u n t	a c a t e r o u n t	0.07502717524766922	0
a c a t e r e i e n t	a c a t e r e i e n t	0.07547081261873245	0
m o u o g e i t	m o u o g e i t	0.07641502469778061	0
a d o u o c h e r i a e z	a d o u o c h e r i a e z	0.07624972611665726	0
m o u o g i s s e n t	m o u o g i s s e n t	0.07570359110832214	0
