prediction	target	loss	dist
l ö ö k s i d	l ö ö k s i d	0.04873517155647278	0
e i   h a r j u t a v a t	e i   h a r j u t a v a t	0.05264253541827202	0
k ü t a k s i n	k ü t a k s i n	0.04979526624083519	0
o l e k s i d   t ä t o v e e r i n u d	o l i   t ä t o v e e r i n u d	0.09894333779811859	4
ü t e r b i u m d e s t	ü t e r b i u m d e s t	0.04984993115067482	0
n u s s i t a v	n u s s i t a v	0.048526663333177567	0
h a i d e l e	h a i d e l e	0.0508771687746048	0
ä r g u   o m a g u	ä r g u   o m a g u	0.051353443413972855	0
k a i d e s s e	k a i d e s s e	0.050510771572589874	0
a l g a	a l g a	0.05002164840698242	0
o l e k s i t e   s p i o n e e r i n u d	o l e k s i t e   s p i o n e e r i n u d	0.07800213992595673	0
o l g u   k ü s i n u d	o l g u   k ü s i n u d	0.053124748170375824	0
j ä ä t i s e m a s i n a t e t a	j ä ä t i s e m a s i n a t e t a	0.04894836246967316	0
o l e k s i m e   v õ t n u d	o l i m e   v õ t n u d	0.117063507437706	3
v ä e t i t e g a	v ä e t i t e g a	0.0496739037334919	0
p e e n e n d a g u	p e e n e n d a g u	0.049003422260284424	0
t o s i n a s s e	t o s i n a s s e	0.048258859664201736	0
t ä h e n d a d	t ä h e n d a d	0.050285398960113525	0
n ä d a l a i d	n ä d a l a i d	0.04751269519329071	0
o l e k s   s ü n n i t a n u d	o l e k s   s ü n n i t a n u d	0.08651284128427505	0
e i   o l e v a t   l e b a n u d	e i   o l e v a t   l e b a n u d	0.052519455552101135	0
s õ n a v a b a d u s e n i	s õ n a v a b a d u s e n i	0.05022035539150238	0
u m b i s i k u l i s e n i	u m b i s i k u l i s e n i	0.049272194504737854	0
v õ i m a l u s s t e k s	v õ i m a l u s s t e k s	0.05126134678721428	0
o s k a s i n	o s k a s i n	0.05049175024032593	0
ü t r i u m i k s	ü t r i u m i k s	0.051267772912979126	0
e i   v a b a s t a t u d	e i   v a b a s t a t u d	0.05211514234542847	0
e i   s a j a k s	o l i n   s a d a n u d	0.11829046905040741	7
v õ l u r i d	v õ l u r i d	0.05221844092011452	0
o n   t a h e t u d	o n   t a h e t u d	0.05340094864368439	0
s ü g i s t e s t	s ü g i s t e s t	0.049337953329086304	0
o n   s i t t u n u d	o n   s i t t u n u d	0.0520789735019207	0
k e s a l	k e s a l	0.05125422775745392	0
e i   h ö ö v e l d a n u d	e i   o l e   h ö ö v e l d a n u d	0.10381265729665756	4
ä r g e m   s u r g e m	ä r g e m   s u r g e m	0.05088609457015991	0
p a l u n	p a l u n	0.051887497305870056	0
v a n d e n õ u d e n i	v a n d e n õ u d e n i	0.04932062327861786	0
h o i d j a t a	h o i d j a t a	0.0510210245847702	0
e i   o l n u d   s i t t u n u d	e i   o l n u d   s i t t u n u d	0.051723163574934006	0
j ä ä t i s e s	j ä ä t i s e s	0.04888949543237686	0
o l g u   h a k a t u d	o l g u   h a k a t u d	0.05405363813042641	0
l a u l s i m e	l a u l s i m e	0.04986095428466797	0
s ü d a m e t e k s	s ü d a m e t e k s	0.05060838162899017	0
h i i n l a s t e k s	h i i n l a s t e k s	0.050886932760477066	0
t e a d m i s s e	t e a d m i s s e	0.04870019108057022	0
k u l l e s e	k u l l e s e	0.04927941784262657	0
