prediction	target	loss	dist
д ӧ з м ӧ н ы	д ӧ з м ӧ н ы	0.05251333862543106	0
м о р т с ӧ	м о р т с ӧ	0.058431822806596756	0
в и с ь ӧ	в и с ь ӧ	0.15340517461299896	0
л я м к а я с с ь ы с	л я м к а я с с ь ы с	0.05264890193939209	0
д е п у т а т ы с	д е п у т а т ы с	0.058371417224407196	0
с е с т р а ы с	с е с т р а ы с	0.05795745179057121	0
т ы р ӧ н ы	т ы р ӧ н ы	0.05430931597948074	0
с ы в	с ы в	0.050599128007888794	0
ш т у р в а л с ӧ	ш т у р в а л с ӧ	0.05625034496188164	0
к ы с к а с н ы	к ы с к а с н ы	0.053321339190006256	0
э л е к т р о п р и б о р ъ я с	э л е к т р о п р и б о р ъ я с	0.05775468796491623	0
ш у л ӧ й	ш у л ӧ й	0.05128656327724457	0
и ч и н ь ӧ й	и ч и н ь ӧ й	0.11617304384708405	0
м о р о з л ӧ н	м о р о з л ӧ н	0.05667024105787277	0
в а с и л ё к ъ я с с ь ы с	в а с и л ё к ъ я с с ь ы с	0.05203580856323242	0
о ш й ы с я	о ш й ы с я	0.05039829760789871	0
а н и ч а ӧ с	а н и ч а ӧ с	0.05489645153284073	0
э л я с ь л ы	э л я с ь л ы	0.04937679320573807	0
п у н к т	п у н к т	0.06054556369781494	0
п л а н и р у й т н ы	п л а н и р у й т н ы	0.0567500926554203	0
п е д а л ь я с	п е д а л ь я с	0.05638641119003296	0
д о й с ь ы с	д о й с ь ы с	0.05024590343236923	0
п ӧ л ӧ з н и ч а ӧ с	п ӧ л ӧ з н и ч а ӧ с	0.05494077131152153	0
ф и н н о у г р о в е д е н и е л ы	ф и н н о у г р о в е д е н и е л ы	0.054768625646829605	0
к о т е л ь н ӧ й л ӧ н	к о т е л ь н ӧ й л ӧ н	0.05435696616768837	0
ё р т ӧ с	ё р т ӧ с	0.05695970356464386	0
р а к ы с ь	р а к ы с ь	0.05561533942818642	0
п а ж н а й т	п а ж н а й т	0.05597079545259476	0
в е т л ӧ д л а н н ы д	в е т л ӧ д л а н н ы д	0.051665861159563065	0
м ы ч ч ы л і с н ы	м ы ч ч ы л і с н ы	0.0876350924372673	0
в а й н ы	в а й н ы	0.05154559016227722	0
й и д ж ӧ д ж ы к	й и д ж ӧ д ж ы к	0.050433944910764694	0
п ӧ ж а с я н	п ӧ ж а с я н	0.054900236427783966	0
в ӧ т ч ы н ы с ӧ	в о т ч ы н ы с ӧ	0.14940841495990753	1
п р о ц е н т ъ я с	п р о ц е н т ъ я с	0.05656315013766289	0
и н ф о р м а ц и я	и н ф о р м а ц и я	0.052842412143945694	0
с т р о й о т р я д ӧ н	с т р о й о т р я д ӧ н	0.056693654507398605	0
с у т к и я с ӧ д з	с у т к и я с ӧ д з	0.05683126673102379	0
к а р с а л ы	к а р с а л ы	0.057238318026065826	0
ш а х т ё р л ы с ь	ш а х т ё р л ы с ь	0.051457978785037994	0
с и б а в н ы	с и б а в н ы	0.05452454090118408	0
г ӧ п т ӧ	г ӧ п т ӧ	0.08009136468172073	0
б а ш н я ы д	б а ш н я ы д	0.052340392023324966	0
