prediction	target	loss	dist
a l g õ d   k ū l õ g õ d	a l g õ d   k ū l õ g õ d	0.05585901811718941	0
k ō d k i m d õ n d i s t	k ō d k i m d õ n d i s t	0.05721209570765495	0
i z t   l ī	i z t   l ī	0.05339858680963516	0
t u ļ t õ	t u ļ t õ	0.04985708370804787	0
n ē ļ a t u o i s t õ n d s t	n ē ļ a t u o i s t õ n d s t	0.05399343743920326	0
k ū l õ g	k ū l õ g	0.05745368078351021	0
j e l ā g i d !	j e l ā g i d !	0.053823672235012054	0
t a s s õ d õ n	t a s s õ d õ n	0.05071805417537689	0
s e i s k i m d õ n d õ n	s e i s k i m d õ n d õ n	0.055994536727666855	0
b ä z m õ r i s t	b ä z m õ r i s t	0.051226984709501266	0
n ē ļ a s a d ā n d õ d õ n	n ē ļ a s a d ā n d õ d õ n	0.053985461592674255	0
ä d   l ī   p a n d	ä d   l ī   p a n d	0.05650226026773453	0
j a n v ā r i s t	j a n v ā r i s t	0.05701373144984245	0
n ū o ŗ i m õ d	n ū o ŗ i m õ d	0.05791974067687988	0
v ī d õ n d i s t	v ī d õ n d i s t	0.05552427098155022	0
n ē ļ a t u o i s t õ n d i d i	n ē ļ a t u o i s t õ n d i d i	0.05347677320241928	0
ǟ l õ d	ǟ l õ d	0.051477573812007904	0
ä b   l ī t   l i k k õ n d	ä b   l ī t   l i k k õ n d	0.05483626574277878	0
a š š õ	a š š õ	0.047561388462781906	0
k ū d k i m d õ n d i d i	k ū d k i m d õ n d i d i	0.05648692697286606	0
m u n ā d k u o ț š t õ	m u n ā d k u o ț š t õ	0.0546347051858902	0
r ō n t õ k s	r ō n t õ k s	0.05478467792272568	0
s ȭ i r a d õ k s	s ȭ i r a d õ k s	0.05249883607029915	0
ū l d õ n	ū l d õ n	0.05533425137400627	0
k ō d s a d ā n d i s t	k ō d s a d ā n d i s t	0.056476034224033356	0
j ō ņ p ǟ v a   k ū s t õ	j ō ņ p ǟ v a   k ū s t õ	0.05575164034962654	0
v ä r b s õ	v ä r b s õ	0.0813082605600357	0
p ō r s t õ	p ō r s t õ	0.05546608567237854	0
p ȯ i š k i	p ȯ i š k i	0.052987951785326004	0
k ī l m a k ū	k ī l m a k ū	0.05893247202038765	0
k n a š ī z	k n a š ī z	0.05283399298787117	0
a l ā   l ǟ !	a l ā   l ǟ !	0.06562288850545883	0
k n a š š õ s	k n a š š õ s	0.05170748382806778	0
p ǟ d õ	p ǟ d õ	0.05135141685605049	0
j e l ī z t õ	j e l ī z t õ	0.053528472781181335	0
