prediction	target	loss	dist
в а й м а ф т т я д я з ь	в а й м а ф т т я д я з ь	0.04700038209557533	0
п е р я	п е р я	0.052758652716875076	0
г р е к н е н д и	г р е к н е н д и	0.05061153322458267	0
в а й г я л ь	в а й г я л ь	0.04930780455470085	0
к о м и т е т т ь	к о м и т е т т ь	0.052287448197603226	0
а л ь б о м с о н	а л ь б о м с о н	0.05075741559267044	0
л е к т о р к с	л е к т о р к с	0.05399912968277931	0
к о н ю х о к с	к о н ю х о к с	0.04750646650791168	0
а з к с с н а	а з к с с н а	0.05017460882663727	0
п и ч е т ь	п и ч е т ь	0.05168772488832474	0
е д и н о р о с с н е н д и	е д и н о р о с с н е н д и	0.05080822855234146	0
д у р а к	д у р а к	0.0539255253970623	0
ш а в ф н е н ь	ш а в ф н е н ь	0.04873350262641907	0
р а й ц е н т р а т н е	р а й ц е н т р а т н е	0.05102190747857094	0
м у т ь	м у т ь	0.10345248132944107	0
ф о н о г р а м м а н ь	ф о н о г р а м м а н ь	0.05113471299409866	0
в о к з а л с т а	в о к з а л с т а	0.05293435975909233	0
п о з и ц и я с н а	п о з и ц и я с н а	0.050885796546936035	0
р а з д е в а л к а т ь	р а з д е в а л к а т ь	0.05207478255033493	0
п и н г с н а	п и н г с н а	0.04961281269788742	0
л а у р е а т о ц	л а у р е а т о ц	0.05418960005044937	0
к р х т а п а л ь	к р х т а п а л ь	0.05251432582736015	0
п р а к т и к а т н е н ь	п р а к т и к а т н е н ь	0.052810151129961014	0
в а н д о л г о д с т ь	в а н д о л г о д с т ь	0.06052837893366814	0
с е м а ф о р	с е м а ф о р	0.05339418724179268	0
п о л а с н а	п о л а с н а	0.05241261422634125	0
э р я й т ь	э р я й т ь	0.04589954391121864	0
п и н е н ц	п и н е н ц	0.049416154623031616	0
а л я т ь	а л я т ь	0.0517309196293354	0
ф у н к ц и я т н е	ф у н к ц и я т н е	0.04899512603878975	0
п и л о т а ж е н ь	п и л о т а ж е н ь	0.05134737491607666	0
х о м я к н е	х о м я к н е	0.0494728721678257	0
к р а е в е д ч е с к я й	к р а е в е д ч е с к я й	0.05158413574099541	0
ж е л е з н о д о р о ж н и к с ь	ж е л е з н о д о р о ж н и к с ь	0.0501551553606987	0
и з б и р к о п н е	и з б и р к о п н е	0.05538712441921234	0
к а з а н т и	к а з а н т и	0.05161306634545326	0
с а м м и т т и	с а м м и т т и	0.05248416215181351	0
к р г а ц е н ь	к р г а ц е н ь	0.04870827496051788	0
с т а й т ь	с т а й т ь	0.06130088120698929	0
а н з я й х т ь	а н з я й х т ь	0.05009206011891365	0
э н е р г е т и к	э н е р г е т и к	0.050766486674547195	0
с ю л е к а н к с а	с ю л е к а н к с а	0.049651529639959335	0
т р я с т ь	т р я с т ь	0.050922565162181854	0
а ц а м ц е	а ц а м ц е	0.04939832538366318	0
н е д я л я ц е	н е д я л я ц е	0.04784253612160683	0
а в и а к о м п а н и я т н е н ь	а в и а к о м п а н и я т н е н ь	0.05210914462804794	0
э к с п о н а т т н е н д и	э к с п о н а т т н е н д и	0.05044113099575043	0
с е л ь м о п о н а т н е н ь	с е л ь м о п о н а т н е н ь	0.05055514723062515	0
т р а к т о р х н е н ь	т р а к т о р х н е н ь	0.05281364172697067	0
п о с е л к а н ь к е	п о с е л к а н ь к е	0.05133126303553581	0
с п а р т а к и а д а с н о н д ы	с п а р т а к и а д а с н о н д ы	0.05121225118637085	0
р е й х с т а г о н ь	р е й х с т а г о н ь	0.0490628220140934	0
к у л ь т у р н а й т ь	к у л ь т у р н а й т ь	0.05149397999048233	0
а н о к л а й	а н о к л а й	0.05205463990569115	0
н а с л е д и я н ц	н а с л е д и я н ц	0.049872104078531265	0
м и ф н е н ь	м и ф н е н ь	0.048743270337581635	0
д и в и з и о н о н ь	д и в и з и о н о н ь	0.049279168248176575	0
м а ш и н к а т ь	м а ш и н к а т ь	0.05188668519258499	0
в е н е ц н е н ь	в е н е ц н е н ь	0.04858676716685295	0
к р х т а м с	к р х т а м с	0.05194947123527527	0
п р е д а т е л ь х н е н ь г е	п р е д а т е л ь х н е н ь г е	0.04922550544142723	0
о г о н е к с	о г о н е к с	0.049653246998786926	0
л а д я к	л а д я к	0.049964532256126404	0
б о й	б о й	0.04915269464254379	0
м и т и н г с т а	м и т и н г с т а	0.04997978359460831	0
к а ф е д р а с о н к	к а ф е д р а с о н к	0.05065960809588432	0
н а р е ч и я т н е	н а р е ч и я т н е	0.051804427057504654	0
т р е н е р о н т е	т р е н е р о н т е	0.05093931034207344	0
б р у с о к с а	б р у с о к с а	0.054141175001859665	0
с е д я ф	с е д я ф	0.04688957333564758	0
м а м а з е н ь	м а м а з е н ь	0.052561599761247635	0
в и р е н ь	в и р е н ь	0.05119015648961067	0
п а ч а н з о н	п а ч а н з о н	0.04862390458583832	0
а р х и в с о н	а р х и в с о н	0.050849489867687225	0
с к а з а н и я	с к а з а н и е	0.8545553088188171	1
н о л д а ф	н о л д а ф	0.05004006624221802	0
л а ф ч е м о м с	л а ф ч е м о м с	0.058918606489896774	0
н е д я л я т и	н е д я л я т и	0.048859596252441406	0
з а в о т т н е н д и	з а в о т т н е н д и	0.057914961129426956	0
к а р к с а ф	к а р к с а ф	0.05395694822072983	0
ш к о л а т н е	ш к о л а т н е	0.05091626197099686	0
к у з н е ц с ь	к у з н е ц с ь	0.048983052372932434	0
в а й г я л ь б е т н е	в а й г я л ь б е т н е	0.04939012974500656	0
л я т ф н е м б я л е н ь	л я т ф н е м б я л е н ь	0.04952692240476608	0
д о л г о н ь	д о л г о н ь	0.04800428822636604	0
л е ф к с т	л е ф к с т	0.049974773079156876	0
о т е ч е с т в а т ь	о т е ч е с т в а т ь	0.05138544738292694	0
т е р м и н а л х н е н ь	т е р м и н а л х н е н ь	0.051540154963731766	0
р а з д е л х н е	р а з д е л х н е	0.050997138023376465	0
м и ш е н д с ь	м и с ь	0.25586163997650146	4
к о ч к а м а т н е н д и	к о ч к а м а т н е н д и	0.05041540414094925	0
п а к ш	п а к ш	0.05202469974756241	0
л а з к с с н о н	л а з к с с н о н	0.051045943051576614	0
м о г и л ь н и к т ь	м о г и л ь н и к т ь	0.05095016583800316	0
в и ц е - п р е з и д е н т о н ц	в и ц е - п р е з и д е н т о н ц	0.04912354424595833	0
п а с х а т ь	п а с х а т ь	0.05075341835618019	0
м а р т т ь	м а р т т ь	0.054914217442274094	0
к у д н у м о л т и	к у д н у м о л т и	0.05154591426253319	0
э е н д а й х т ь	э е н д а й х т ь	0.050666965544223785	0
к я ж с а	к я ж с а	0.04952126368880272	0
р а б о т а н з а	р а б о т а н з а	0.05270885303616524	0
с о д а м о ш и к с	с о д а м о ш и к с	0.05101075395941734	0
р я м ш а ф	р я м ш а ф	0.051544420421123505	0
п о л и к л и н и к а	п о л и к л и н и к а	0.05499033257365227	0
п р о е к т и р о в а н и я ц	п р о е к т и р о в а н и я ц	0.05350066348910332	0
й о г у р т о н ь	й о г у р т о н ь	0.04994162544608116	0
х о з я й с т в а н т е н д и	х о з я й с т в а н т е н д и	0.04794915392994881	0
п р о е к т с	п р о е к т с	0.05420083552598953	0
г о р ч и ц а	г о р ч и ц а	0.052876830101013184	0
п у р х ц о з а с т ь	п у р х ц о з а с т ь	0.06034355238080025	0
к о л а ф о н ь	к о л а ф о н ь	0.049982570111751556	0
п р о г р а м м а с о н к	п р о г р а м м а с о н к	0.05331474542617798	0
к л у б о з о с т	к л у б о з о с т	0.04940660670399666	0
ш н а к ш н е в и х т ь	ш н а ф т ы х т ь	0.15320977568626404	6
ц и ф т о р г о д ы	ц и ф т о р г о д ы	0.050840165466070175	0
а т к а з а к ш н е с ь	а т к а з а с ь	0.16348053514957428	4
м я л е н з а	м я л е н з а	0.048523761332035065	0
к а р е л ь с к я й х т ь	к а р е л ь с к я й т ь	0.21534882485866547	1
м е р о п р и я т и я с о н к	м е р о п р и я т и я с о н к	0.05264904350042343	0
к р а е в е д е н и я т ь	к р а е в е д е н и я т ь	0.05141720548272133	0
с я в а т	с я в а т	0.08662796020507812	0
и н е з и к с т ь	и н е з и к с т ь	0.050409603863954544	0
к о з я к о ф т ф т	к о з я к о ф т ф т	0.047554861754179	0
а к л я з е	а к л я з е	0.05108904838562012	0
с у р с н а	с у р с н а	0.05301615223288536	0
з н а к о м о н д а ф т о л ь х т ь	з н а к о м о н д а ф т о л ь х т ь	0.05462207272648811	0
б а к а л а в р и а т т ь	б а к а л а в р и а т т ь	0.054902639240026474	0
ч е с н о к н е	ч е с н о к н е	0.05097639933228493	0
с е л ь с о в е т у	с е л ь с о в е т у	0.051638152450323105	0
с л а в а н ц	с л а в а н ц	0.05275390297174454	0
п о д в и к н е	п о д в и к н е	0.04954955354332924	0
