prediction	target	loss	dist
п е ч ы н а	п е ч ы н а	0.04981142655014992	0
у т л а р а к а к	у т л а р а к а к	0.049009718000888824	0
в е с ы ш к ы ж е	в е с ы ш к ы ж е	0.04930375888943672	0
т е р е м о к ы м	т е р е м о к ы м	0.05247608572244644	0
у м ы л т а р а	у м ы л т а р а	0.05040513351559639	0
о н	о н	0.05100807175040245	0
ч о ҥ е ш т ы ж е	ч о ҥ е ш т ы ж е	0.049718331545591354	0
а к л а л т е ш	а к л а л т е ш	0.05283207446336746	0
м о д ы к т е м	м о д ы к т е м	0.04946386069059372	0
о б щ е с т в ы н	о б щ е с т в ы н	0.04987836629152298	0
о н	о н	0.05234537646174431	0
ч у ч ы к т а	ч у ч ы к т а	0.05118120089173317	0
к а р е т	к а р е т	0.05080936476588249	0
в о в а	в о в а	0.05582833290100098	0
а в а ш	а в а ш	0.04946884512901306	0
п о ч ш ы м	п о ч ш ы м	0.051949433982372284	0
и р и с	и р и с	0.06182588264346123	0
к о л л е к т и в ы ш т ы н а	к о л л е к т и в ы ш т ы н а	0.0502726249396801	0
п р у д	п р у д	0.05865635722875595	0
я к л а к а н	я к л а к а н	0.04946065694093704	0
ш е р е м а т	ш е р е м а т	0.05055972561240196	0
м а р г а н е ц	м а р г а н е ц	0.0498439259827137	0
о п е к у н л а н а т	о п е к у н л а н а т	0.05207758769392967	0
с е м н а м	с е м н а м	0.04773303493857384	0
п о л к е м	п о л к е м	0.0547829195857048	0
ы с е н а	ы с е н а	0.04881085827946663	0
ш ы ж а л т	ш ы ж а л т	0.04655161127448082	0
с т а т и с т и к ы н	с т а т и с т и к ы н	0.0539686381816864	0
э л ж ы м	э л ж ы м	0.055043164640665054	0
к у ч ы к т а т	к у ч ы к т а т	0.052473925054073334	0
м е ҥ г ы ж ы м	м е ҥ г ы ж ы м	0.047369424253702164	0
н е р ы ш	н е р ы ш	0.051200225949287415	0
ш у й к а л е н	ш у й к а л е н	0.05051353946328163	0
с а п о г	с а п о г	0.05452079698443413	0
м о т о р е м ы м	м о т о р е м ы м	0.050196390599012375	0
ш о л т а ш а т	ш о л т а ш а т	0.04968765750527382	0
п ы р т к а ш	п ы р т к а ш	0.05464108660817146	0
с е к р е т а р ь н а	с е к р е т а р ь н а	0.052076663821935654	0
к и н о т е а т р е м	к и н о т е а т р е м	0.05276186391711235	0
п а й р е м л а ж е	п а й р е м л а ж е	0.05554204806685448	0
ч о к ы ж а к	ч о к ы ж о - л а й	0.38668715953826904	4
к о р н ы н а н	к о р н ы н а н	0.05065778270363808	0
р о м а н ы ш т ы ж е	р о м а н ы ш т ы ж е	0.049590904265642166	0
к у а ш а т	к у а ш а т	0.14815697073936462	0
у с а д ь б ы ш т ы ж е	у с а д ь б ы ш т ы ж е	0.04871491342782974	0
п а р н я м - в л а к ы м	п а р н я м - в л а к ы м	0.05543079599738121	0
п о ч е л а м у т ш о - в л а к л а н	п о ч е л а м у т ш о - в л а к л а н	0.050989098846912384	0
к а р а т	к а р а т	0.052644312381744385	0
о л и м п и й с к и й	о л и м п и й с к и й	0.05446263775229454	0
м и н и с т е р с т в ы ш к ы ж а т	м и н и с т е р с т в ы ш к ы ж а т	0.05094000697135925	0
м у ж ы м	м у ж ы м	0.058322589844465256	0
о н д а л а л т ы д а	ӧ н д а л а л т ы д а	0.24165703356266022	1
к о ш а р т ы ш ы м	к о ш а р т ы ш ы м	0.051247622817754745	0
л ь г о т ы ж о	л ь г о т ы ж о	0.08713319897651672	0
а ч а л ы к т е н	а ч а л ы к т е н	0.048310793936252594	0
ф а к т л а н	ф а к т л а н	0.04884083569049835	0
ш е р г ы ш	ш е р г ы ш	0.05184314027428627	0
к а в а н л а ш	к а в а н л а ш	0.10657690465450287	0
у к е л ы к ы ш т е	у к е л ы к ы ш т е	0.05014299228787422	0
ч о л г ы ж е ш	ч о л г ы ж е ш	0.04891597479581833	0
э с к и з ш е	э с к и з ш е	0.05123905465006828	0
а р г а н	а р г а н	0.05086017772555351	0
к а л ы к н а м	к а л ы к н а м	0.04824294149875641	0
д о к а з а т л е н а т	д о к а з а т л е н а т	0.04974779114127159	0
а й д е м е т	а й д е м е т	0.04688791558146477	0
м и я т	м и я т	0.04793306067585945	0
с е к р е т ы м а т	с е к р е т ы м а т	0.051700666546821594	0
р о н ч а л т ы ш т	р о н ч а л т ы ш т	0.050917450338602066	0
ж е л ы м	ж е л е м	1.217187523841858	1
л ӱ м л а к	л у м л а к	0.38346391916275024	1
ф о т о х у д о ж н и к - в л а к ы н	ф о т о х у д о ж н и к - в л а к ы н	0.053932029753923416	0
м е т и с ы ш	м е т и с ы ш	0.05393964797258377	0
ж а п л е н а к	ж а п л е н а к	0.047649867832660675	0
о т д е л ж ы н	о т д е л ж ы н	0.05011659860610962	0
а д в о к а т л а н	а д в о к а т л а н	0.04946402087807655	0
п ӧ р т ы л ы н а т	п ӧ р т ы л ы н а т	0.06129048019647598	0
л а в ы р а ж ы м	л а в ы р а ж ы м	0.050315212458372116	0
р и т м и к ы л а н а к	р и т м и к ы л а н а к	0.051033973693847656	0
с п е ц в ы п у с к н а	с п е ц в ы п у с к н а	0.05252387002110481	0
с а л ф е т к е ш	с а л ф е т к е ш	0.050856780260801315	0
в а ш л и й д а	в а ш л и й д а	0.05023275315761566	0
в а ж ы к у м ш а л а н	в а ж ы к у м ш а л а н	0.048998720943927765	0
