prediction	target	loss	dist
ч о в о р и н к	ч о в о р и н к	0.05575500428676605	0
с ы р г а в т ы з ь	с ы р г а в т ы з ь	0.0509737953543663	0
с в е т о т е х н и к а н ь	с в е т о т е х н и к а н ь	0.052717216312885284	0
п е л ь к с э с т	п е л ь к с э с т	0.05250191688537598	0
к а р м и н д е р я н	к а р м и н д е р я н	0.0773475244641304	0
м и и	м и и	0.10109458863735199	0
с р у б о н ь	с р у б о н ь	0.05340622365474701	0
н а р в и ц ь к а	н а р в и ц ь к а	0.0557887963950634	0
и н я з о р к с ч и н т е н ь	и н я з о р к с ч и н т е н ь	0.052236318588256836	0
п е н а л	п е н а л	0.05862059071660042	0
а р т о в к с с о н з о	а р т о в к с с о н з о	0.052019815891981125	0
в л а с т е н ь	в л а с т е н ь	0.053667277097702026	0
п о л а в т о в и н ь	п о л а в т о в и н ь	0.05344710126519203	0
т р е с к а	т р е с к а	0.06562648713588715	0
т а п а в и	т а п а в и	0.07562904804944992	0
п и д е в и т ь	п и д е в и т ь	0.0640220195055008	0
к у р о д о з е л ь т ь	к у р о д о з е л ь т ь	0.05245906487107277	0
ф а т и т ь	ф а т я к ш н ы т ь	0.22716426849365234	5
а в т о ц и с т е р н а т	а в т о ц и с т е р н а т	0.05471578612923622	0
а т я д о н т ь	а т я д о н т ь	0.05093679204583168	0
р а с ь к е н ь г а к	р а с ь к е н ь г а к	0.0799451693892479	0
л и с ь м а з о	л и с ь м а з о	0.05278833210468292	0
н у р ь г а м о з ь	н у р ь г а м о з ь	0.05363435670733452	0
к е д р о в о й	к е д р о в о й	0.05459880828857422	0
с е д е й м а р и ц я т	с е д е й м а р и ц я т	0.05307164415717125	0
у ш о д т	у ш о д т	0.05239627882838249	0
с п е к т а к л я с ь к а к	с п е к т а к л я с ь к а к	0.053918227553367615	0
с о р а к а д ы т ь	с о р а к а д ы т ь	0.05414699390530586	0
м о л ь с т и н ь	м о л ь с т и н ь	0.06069672852754593	0
л и в т и т ь к а к	л и в т и т ь к а к	0.05217703431844711	0
т р я с а к	т р я с а к	0.05129455402493477	0
к е в к с т я т а д ы з ь	к е в к с т я т а д ы з ь	0.04898211359977722	0
п р я в к с о к с	п р я в к с о к с	0.054460763931274414	0
о д а р ё н н о й	о д а р ё н н о й	0.0567978136241436	0
п р и л о ж е н и я с о	п р и л о ж е н и я с о	0.05387181416153908	0
п р о д у к т а т	п р о д у к т а т	0.05565061420202255	0
ш у м б р а ч и н е к	ш у м б р а ч и н е к	0.05397603288292885	0
л о ш а д ь	л о ш а д ь	0.053491946309804916	0
п л а т о	п л а т о	0.058477502316236496	0
а л т к а к	а л т к а к	0.049292273819446564	0
м а к с а т	м а к с а т	0.05418083444237709	0
к а й с я н	к а й с я н	0.05912124738097191	0
т р а н ш е я т н е	т р а н ш е я т н е	0.05346201732754707	0
п и з ё л к с т н э	п и з ё л к с т н э	0.055647172033786774	0
ч а т ь м о н и т ь	ч а т ь м о н и т ь	0.09909138083457947	0
р и з н ы т ь	р и з н э к ш н ы т ь	0.26433733105659485	4
а к т и в	а к т и в	0.056410789489746094	0
я л а к с т о м	я л а к с т о м	0.12668602168560028	0
п р я в т н э н ь г а к	п р я в т н э н ь г а к	0.05199892073869705	0
о б р а з е ц т	о б р а з е ц т	0.05265551805496216	0
у в н о с т	у в н о с т	0.05214899033308029	0
н у р т и н д е р я т	н у р т и н д е р я т	0.06457377225160599	0
ё в к с т н э д е	ё в к с т н э д е	0.05297368764877319	0
и н е ч и н ь	и н е ч и н ь	0.05210047960281372	0
ю б и л е й т н е н е н ь	ю б и л е й т н е н е н ь	0.05349648371338844	0
л а в с я с т	л а в с я с т	0.05318117141723633	0
м е ш и л ь	м е ш и л ь	0.0729062408208847	0
ж а б а р д а н т ь	ж а б а р д а н т ь	0.05461578443646431	0
к о м п а р т и я н ь	к о м п а р т и я н ь	0.05635867640376091	0
к а р м а с ь к а к	к а р м а с ь к а к	0.057854022830724716	0
с е з ь с ы	с е з ь с ы	0.04656914249062538	0
к а з а ч е с т в а т	к а з а ч е с т в а т ь	0.42381352186203003	1
к а т е г о р и я н е н ь	к а т е г о р и я н е н ь	0.0553516186773777	0
с т а р о в е р э к с	с т а р о в е р э к с	0.05540710687637329	0
г о с т и н и ц а с т о н т ь	г о с т и н и ц а с т о н т ь	0.05111537128686905	0
