prediction	target	loss	dist
v u o š š a ž i t	v u o š š a ž i t	0.051294244825839996	0
a l u m i i n n a	a l u m i i n n a	0.04980809614062309	0
v u o š š a š e i m m e	v u o š š a š e i m m e	0.05105101317167282	0
b o a h t a l i i	b o a h t a l i i	0.051164425909519196	0
a l v v a t	a l v v a t	0.05083742365241051	0
d u t k k a l e i g g a	d u t k k a l e i g g a	0.050166528671979904	0
r i k k a l e i g g a	r i k k a l e i g g a	0.04982567951083183	0
h e a k k a	h e a k k a	0.04646916314959526	0
b e a l j e h e a p p o t	b e a l j e h e a p p o t	0.04783831164240837	0
g e i d i i n	g e i d i i n	0.04850827157497406	0
g i e r d d a i m e	g i e r d d a i m e	0.049299076199531555	0
d á b á l a č č a s	d á b á l a č č a s	0.050238631665706635	0
a b s k i s s a t	a b s k i s s a t	0.04953915253281593	0
k o n v e n š u v n n a i n	k o n v e n š u v n n a i n	0.04870700463652611	0
a m i i d e i m m e t	a m i i d e i m m e t	0.04867711290717125	0
č u s k k o ž i t	č u s k k o ž i t	0.05038376897573471	0
g a ž a h e š	g a ž a h e š	0.047717541456222534	0
d o i b o n	d o i b o n	0.049801696091890335	0
v á c c i i g a	v á c c i i g a	0.04847501218318939	0
s k á v g o n	s k á v g o n	0.05092157423496246	0
v i h p a t	v i h p a t	0.04815756157040596	0
p o s t i i	p o s t i i	0.04809993878006935	0
š n j o r r o s k a	š n j o r r o s k a	0.05003690347075462	0
g á h č a š i t	g á h č a š i t	0.05024838447570801	0
l a k k a š e i m m e t	l a k k a š e i m m e t	0.05039473995566368	0
s u t t a l e i d d e t	s u t t a l e i d d e t	0.05114221200346947	0
a l b m a n e h k o s	a l b m a n e h k o s	0.04990940913558006	0
j u o v l a m á n u	j u o v l a m á n u	0.05201093107461929	0
r á t t u i d e t	r á t t u i d e t	0.04947766661643982	0
d e a d j a b a s t i i	d e a d j a b a s t i i	0.0480710044503212	0
č a h r a š i i	č a h r a š i i	0.05007931962609291	0
c e l k e	c e l k e	0.04869620501995087	0
d o v d d a ž a t	d o v d d a ž a t	0.04991728439927101	0
s t a đ đ e t	s t a đ đ e t	0.04579434543848038	0
e h c c e t e a h c c i t	e h c c e t e a h c c i t	0.07574912160634995	0
a l m m o s t a h t e	a l m m o s t a h t e	0.04874936118721962	0
a d v e a r b b a i n	a d v e a r b b a i n	0.04855196177959442	0
h á r c o t	h á r c o t	0.04938362166285515	0
č i n o ž a n	č i n o ž a n	0.04845570772886276	0
g o a r d d á l e i d d e t	g o a r d d á l e i d d e t	0.05198420584201813	0
č e a r g u l a d d a t	č e a r g u l a d d a t	0.050505802035331726	0
g e a h č č a l i v č č i i d e	g e a h č č a l i v č č i i d e	0.04821157827973366	0
b u r s s a i d	b u r s s a i d	0.05110230669379234	0
š n j i v v o s	š n j i v v o s	0.04885990172624588	0
