prediction	target	loss	dist
л о б а т ӥ	л о б а т ӥ	0.05447351187467575	0
к у л о з ы	к у л о з ы	0.055583272129297256	0
о г ъ я г е с	о г ъ я г е с	0.049666982144117355	0
у т е т ъ я	у т е т ъ я	0.0536632239818573	0
ч а б и з	ч а б и з	0.0545496828854084	0
с а л о н э з	с а л о н э з	0.05608544126152992	0
ж ю р и л э н	ж ю р и л э н	0.054228924214839935	0
к ы л з ӥ с ь ё с м е	к ы л з ӥ с ь ё с м е	0.051956307142972946	0
з а р е з я м	з а р е з я м	0.05429579317569733	0
д е т е к т и в е з	д е т е к т и в е з	0.057264648377895355	0
м у н ё о с ы з л ы	м у н ё о с ы з л ы	0.05220671743154526	0
в к л а д ч и к ъ ё с л э с ь	в к л а д ч и к ъ ё с л э с ь	0.056380148977041245	0
м а р г а р и н л э с ь	м а р г а р и н л э с ь	0.05726910009980202	0
т ы о с а д	т ы о с а д	0.054555971175432205	0
м а р ӟ а н л э н	м а р ӟ а н л э н	0.05721693113446236	0
г и д л э н	г и д л э н	0.05427733063697815	0
э р и к е з	э р и к е з	0.056612517684698105	0
т е х у ч и л и щ е о с т ы	т е х у ч и л и щ е о с т ы	0.052627284079790115	0
и н т е л л и г е н ц и м ы	и н т е л л и г е н ц и м ы	0.05451665073633194	0
ф о л ь к л о р н о й	ф о л ь к л о р н о й	0.05343231186270714	0
с е л ь х о з	с е л ь х о з	0.05107766389846802	0
т э р ы т ы н ы	т э р ы т ы н ы	0.05196695774793625	0
ч е б е р ъ ё с ы з	ч е б е р ъ ё с ы з	0.05589191988110542	0
т е м п е р а т у р а л э с ь	т е м п е р а т у р а л э с ь	0.05899395793676376	0
б и ч а л л я с ь к о	б и ч а л л я с ь к о	0.05252879485487938	0
у к н о о с ы н	у к н о о с ы н	0.05726100876927376	0
т о д м е т ъ ё с ы	т о д м е т ъ ё с ы	0.05644296482205391	0
в ы л л а п а л т ӥ з	в ы л л а п а л т ӥ з	0.05587409809231758	0
с ю л э м т ӥ з ы	с ю л э м т ӥ з ы	0.0523187629878521	0
п у л е м ё т л ы	п у л е м ё т л ы	0.05606674402952194	0
б и т у м е н	б и т у м е н	0.05792548507452011	0
к ы л т ӥ р л ы к е з	к ы л т ӥ р л ы к е з	0.0546344630420208	0
т у з ӥ з ы	т у з ӥ з ы	0.05334232375025749	0
й ы р ъ ё с ы з	й ы р ъ ё с ы з	0.054964885115623474	0
й ы р ъ е т э з	й ы р ъ е т э з	0.05382542312145233	0
ӝ е г а н ы	ӝ е г а н ы	0.05098075047135353	0
н ы л ы д	н ы л ы д	0.05280344560742378	0
п ы з е н	п ы з е н	0.056722491979599	0
п у ж н э	п у ж н э	0.057264506816864014	0
с о б ы т и е з	с о б ы т и е з	0.05567402392625809	0
с ы л э т	с ы л ы т ы	0.21468253433704376	2
к о с ы л э м	к о с ы л э м	0.05164195969700813	0
д ӥ с ь т ӥ с ь к е	д ӥ с ь т ӥ с ь к е	0.04964812099933624	0
к и н о т е а т р е з	к и н о т е а т р е з	0.05991203710436821	0
ш у р у п с э	ш у р у п с э	0.05878124013543129	0
к ы з а у з ы е з	к ы з а у з ы е з	0.055224210023880005	0
в ы л ь ё с ы н ы з	в ы л ь ё с ы н ы з	0.053017545491456985	0
ч е б е р м а т о з ы	ч е б е р м а т о з ы	0.0543685108423233	0
ф р а н ц у з з э	ф р а н ц у з з э	0.05420881509780884	0
й ы б ы р т т ӥ с ь к о д	й ы б ы р т т ӥ с ь к о д	0.05222439765930176	0
а в т о з а в о д ы н	а в т о з а в о д ы н	0.05790087580680847	0
ч е м о д а н ъ ё с ы н	ч е м о д а н ъ ё с ы н	0.05608068034052849	0
р е е с т р л э с ь	р е е с т р л э с ь	0.05637785419821739	0
ю ы л ӥ л л я м	ю ы л ӥ л л я м	0.045573070645332336	0
с у р е д а л о д	с у р е д а л о д	0.05777169391512871	0
у к с ё т ӥ р л ы к е з	у к с ё т ӥ р л ы к е з	0.05527450144290924	0
ч а к л а с ь к ы т о	ч а к л а с ь к ы т о	0.055470060557127	0
с и к ъ ё с а з ы	с и к ъ ё с а з ы	0.05658309534192085	0
и в о р ъ ё с т э	и в о р ъ ё с т э	0.056680381298065186	0
л ю к е т э	л ю к е т э	0.053402382880449295	0
т о д м а т ӥ з	т о д м а т ӥ з	0.054820042103528976	0
э б е к л э с ь	э б е к л э с ь	0.05272810906171799	0
в о д о п а д ъ ё с	в о д о п а д ъ ё с	0.05868281051516533	0
б ы д э с т о д	б ы д э с т о д	0.05256950110197067	0
п ӧ р м ы л о	п ӧ р м ы л о	0.054967667907476425	0
с п у т н и к ы с е н	с п у т н и к ы с е н	0.05722641572356224	0
п л и т а е	п л и т а е	0.06051003187894821	0
к ы с к а л о д	к ы с к а л о д	0.05561106652021408	0
ӝ и п т ӥ с ь к о м	ӝ и п т ӥ с ь к о м	0.06286091357469559	0
к о л х о з а д	к о л х о з а д	0.052965451031923294	0
о ж м а с ь к е	о ж м а с ь к е	0.0529809445142746	0
т а н к и с т л ы	т а н к и с т л ы	0.05802313610911369	0
б о л о н ь я л э н	б о л о н ь я л э н	0.05508134141564369	0
д и л о г и е з	д и л о г и е з	0.05509769171476364	0
ё з ч и о с ы з л ы	ё з ч и о с ы з л ы	0.050637420266866684	0
и с ь к е м ъ ё с ы н	и с ь к е м ъ ё с ы н	0.05536714196205139	0
з а м е ч а н и о с ы н ы д	з а м е ч а н и о с ы н ы д	0.05448784679174423	0
д ӥ с ь к у т э	д ӥ с ь к у т э	0.0531681589782238	0
т р у п п а л э н	т р у п п а л э н	0.06167034059762955	0
н а р у ч н и к ъ ё с т ы	н а р у ч н и к ъ ё с т ы	0.05842958018183708	0
п о т а с ь к о д	п о т а с ь к о д	0.05672219395637512	0
к ы з ъ ё с ы н	к ы з ъ ё с ы н	0.056064460426568985	0
б а м е з	б а м е з	0.055800095200538635	0
й ы р и н т о з	й ы р и н т о з	0.055901750922203064	0
в а п у м е з л ы	в а п у м е з л ы	0.05679469183087349	0
у н и в е р с и а д а ы с ь	у н и в е р с и а д а ы с ь	0.058365609496831894	0
ш о б ы р т ӥ д	ш о б ы р т ӥ д	0.05571087822318077	0
у с п е н с к и й л э н	у с п е н с к и й л э н	0.05645386874675751	0
в е р о с ч и о с л э н	в е р о с ч и о с л э н	0.056050125509500504	0
к у р а с ь к ы	к у р а с ь к ы	0.0577545240521431	0
у ч х о з ы с е н	у ч х о з ы с е н	0.05025150626897812	0
с о с т а в л э с ь	с о с т а в л э с ь	0.05523887649178505	0
ч е р е ш н я е з	ч е р е ш н я е з	0.05521213263273239	0
н ь ӧ р а з	н ь ӧ р а з	0.05589332804083824	0
к а ф е ш к а ы н	к а ф е ш к а ы н	0.05746278911828995	0
ф е д е р а ц и о с ы н	ф е д е р а ц и о с ы н	0.054613664746284485	0
к л о у н а д ы	к л о у н а д ы	0.056782159954309464	0
ӝ е г а т с к и с ь к о д	ӝ е г а т с к и с ь к о д	0.05439705774188042	0
т у н г о н а с ь к о	т у н г о н а с ь к о	0.05661262944340706	0
н а з ь ы л ь с к е м	н а з ь ы л ь с к е м	0.052761346101760864	0
б и л е т ъ ё с т ы	б и л е т ъ ё с т ы	0.05688032880425453	0
с ю р ы л э	с ю р ы л э	0.04969308152794838	0
п ы ч к и с ь к е	п ы ч к и с ь к е	0.05250857025384903	0
и н м а р е з л э с ь	и н м а р е з л э с ь	0.05490196868777275	0
к о л х о з а д ы	к о л х о з а д ы	0.05219829082489014	0
б у м а г а я з ы	б у м а г а я з ы	0.05565860867500305	0
а р г а н э н ы з	а р г а н э н ы з	0.05625196546316147	0
к у ш т э	к у ш т э	0.05430089309811592	0
с и р е с ъ ё с ы	с и р е с ъ ё с ы	0.05725325271487236	0
в о з и с ь к и с ь ё с	в о з и с ь к и с ь ё с	0.10721521079540253	0
р е ф о р м а о с ы з	р е ф о р м а о с ы з	0.05533641576766968	0
и н н - л э с ь	и н н - л э с ь	0.05274628847837448	0
й ы л ъ ё с с э	й ы л ъ ё с с э	0.051941946148872375	0
м и н и с т е р с т в о л ы	м и н и с т е р с т в о л ы	0.05668255314230919	0
в о ш ъ я с ь к е	в о ш ъ я с ь к е	0.05424216389656067	0
с е в е р ы с ь	с е в е р ы с ь	0.0569346621632576	0
т у л к ы м ъ я с ь к и с ь к ы	т у л к ы м ъ я с ь к и с ь к ы	0.05231742933392525	0
п р о м ы с л и т ь	п р о м ы с л и т ь	0.05636857822537422	0
к о ӵ ы ш ы с ь	к о ӵ ы ш ы с ь	0.05291612446308136	0
а з ь д а г а о с	а з ь д а г а о с	0.05596403032541275	0
к а р п ъ ё с т ы	к а р п ъ ё с т ы	0.05894223973155022	0
т э т ч а т э	т э т ч а т э	0.05361995846033096	0
у ж ъ ю р т м ы	у ж ъ ю р т м ы	0.05416283383965492	0
й ы р с а з ь з э с	й ы р с а з ь з э с	0.051499344408512115	0
у к ы л т э м ъ я с ь к е м	у к ы л т э м ъ я с ь к е м е з	0.19595269858837128	2
с е к ы т о м ы т э м	с е к ы т о м ы т э м	0.0530761182308197	0
р а ц и о н з э	р а ц и о н з э	0.05632111057639122	0
с а е с ъ ё с м е с	с а е с ъ ё с м е с	0.05448486655950546	0
ч е р е д и м	ч е р е д и м	0.08733406662940979	0
к л и н и к а е з	к л и н и к а е з	0.05966115742921829	0
ю р и с т л э н	ю р и с т л э н	0.055632539093494415	0
в о л о с т ь ы с ь	в о л о с т ь ы с ь	0.05387897789478302	0
т р о й ч а е з	т р о й ч а е з	0.056723568588495255	0
ё з с ӧ з н э т ъ ё с ы н	ё з с ӧ з н э т ъ ё с ы н	0.05424227938055992	0
с у ш к а о с	с у ш к а о с	0.05843156576156616	0
а с т е р о и д	а с т е р о и д	0.05938895046710968	0
ш о б ы р с к е	ш о б ы р с к е	0.05661265179514885	0
с а д о в о й	с а д о в о й	0.05615023523569107	0
ф л е й т а е	ф л е й т а е	0.05367208272218704	0
в а н д ы л ӥ	в а н д ы л ӥ	0.053980425000190735	0
ф а б р и к а о с л э н	ф а б р и к а о с л э н	0.057145193219184875	0
г р у ш а о с с э	г р у ш а о с с э	0.056521765887737274	0
п а р т к о м ы н	п а р т к о м ы н	0.06049724668264389	0
э р е з е з	э р е з е з	0.05390099436044693	0
а у т	а у т	0.06292422115802765	0
с ю р о о с с э	с ю р о о с с э	0.053973324596881866	0
т р о с а м	т р о с а м	0.06428349763154984	0
к о ӵ о е	к о ӵ о е	0.05325734615325928	0
о п п о з и ц и ы с ь	о п п о з и ц и ы с ь	0.05487635359168053	0
у с т о л ы к е з	у с т о л ы к е з	0.05659282207489014	0
с ю р ы л ӥ с ь к ы	с ю р ы л ӥ с ь к ы	0.0785907730460167	0
ш у м е с с э	ш у м е с с э	0.05366799235343933	0
ш у л д ы р т ӥ с ь к о м	ш у л д ы р т ӥ с ь к о м	0.06374312192201614	0
в е р а д	в е р а д	0.06113426759839058	0
к у х н я	к у х н я	0.05503739416599274	0
с ӥ з ё з ы	с ӥ з ё з ы	0.047130074352025986	0
ӟ е ч ы р а л л я м	ӟ е ч ы р а л л я м	0.05167011916637421	0
д ы ш е т с к и л л я м	д ы ш е т с к и л л я м	0.04967094957828522	0
е з ъ ё с л э н	е з ъ ё с л э н	0.05574195832014084	0
с п и ч к а м ы	с п и ч к а м ы	0.05583128705620766	0
б и ж у т е р и я	б и ж у т е р и я	0.05857745558023453	0
т у й л ы	т у й л ы	0.05450182035565376	0
э м ъ я с ь к о н о	э м ъ я с ь к о н о	0.04991484805941582	0
п и о с м е с	п и о с м е с	0.05388554185628891	0
у ч к и с ь к е м	у ч к и с ь к е м	0.05206642672419548	0
п р а в о о с т э	п р а в о о с т э	0.057971514761447906	0
б а й л ы к е з	б а й л ы к е з	0.05524880066514015	0
к е л ь ш о г е с	к е л ь ш о г е с	0.05161043256521225	0
б ы р й и с ь к о д	б ы р й и с ь к о д	0.05279308184981346	0
м ӧ з м ы т э с ь г е с	м ӧ з м ы т э с ь г е с	0.048975784331560135	0
д и р е к т о р ъ ё с	д и р е к т о р ъ ё с	0.05983482673764229	0
д э р е м е н ы з	д э р е м е н ы з	0.05254705995321274	0
б о л ь н и ц а о з ь	б о л ь н и ц а о з ь	0.0540950633585453	0
б у р м ы т ӥ с ь	б у р м ы т ӥ с ь	0.05430188775062561	0
с а п к и с ь к ы л ӥ з ы	с а п к и с ь к ы л ӥ з ы	0.08263503015041351	0
д и п л о м ъ ё с ы	д и п л о м ъ ё с ы	0.0567639134824276	0
с т а д и о н о з ь	с т а д и о н о з ь	0.05541447177529335	0
в а д ь с а з ы	в а д ь с а з ы	0.05601189658045769	0
ӟ у г а с ь к е	ӟ у г а с ь к е	0.05309242010116577	0
п а л л я н ы с ь	п а л л я н ы с ь	0.05524856969714165	0
э м ъ я з ы	э м ъ я з ы	0.05007224157452583	0
а р г а н з ы	а р г а н з ы	0.05802973732352257	0
м о р с к о е	м о р с к о е	0.05684421956539154	0
ш о р м а л п а н ы с е н ы з	ш о р м а л п а н ы с е н ы з	0.055936820805072784	0
к у с к е р т т о н д ы л э с ь	к у с к е р т т о н д ы л э с ь	0.055128902196884155	0
г о ж ъ я м д ы	г о ж ъ я м д ы	0.050738368183374405	0
к а р д э	к а р д э	0.05825148522853851	0
м е д п у н к т ъ ё с т ы	м е д п у н к т ъ ё с т ы	0.057519275695085526	0
п а т е н т ъ ё с т ы	п а т е н т ъ ё с т ы	0.059238094836473465	0
с е н а ж е з	с е н а ж е з	0.05642639845609665	0
ы б ы л ӥ с ь к е	ы б ы л ӥ с ь к е	0.05052579566836357	0
с у р е д а с ь к и с ь к о	с у р е д а с ь к и с ь к о	0.05429534614086151	0
к о н ц е р т м е й с т е р м ы	к о н ц е р т м е й с т е р м ы	0.05517086386680603	0
р е з и д е н т ъ ё с ы з	р е з и д е н т ъ ё с ы з	0.05700250715017319	0
ч е л е п	ч е л е п	0.05533905327320099	0
м а л п а м ы н	м а л п а м ы н	0.05876670777797699	0
и ш к а л л я м	и ш к а л л я м	0.054046500474214554	0
в е д н а с ь к ы н ы	в е д н а с ь к ы н ы	0.05411344766616821	0
у й м е	у й м е	0.05153889209032059	0
н а ц п р о е к т э з	н а ц п р о е к т э з	0.057994257658720016	0
с т р о и т е л ь ё с л э с ь	с т р о и т е л ь ё с л э с ь	0.05610820651054382	0
п и с э й ё с м ы	п и с э й ё с м ы	0.05455363541841507	0
н е л е г а л ъ ё с т ы	н е л е г а л ъ ё с т ы	0.056567687541246414	0
в о д о п а д э з	в о д о п а д э з	0.056936271488666534	0
к у а л я л ю л ь ы е з	к у а л я л ю л ь ы е з	0.05387398228049278	0
й ӧ т ы л о	й ӧ т ы л о	0.049724094569683075	0
в и с ъ е т ъ ё с а з	в и с ъ е т ъ ё с а з	0.057954829186201096	0
ч е р ы к	ч е р ы к	0.05498342216014862	0
о м ы р ъ ё с ы н	о м ы р ъ ё с ы н	0.05627787858247757	0
м о н и с т а е д	м о н и с т а е д	0.057177573442459106	0
б ы г а т о н л ы к с ы л э с ь	б ы г а т о н л ы к с ы л э с ь	0.05266791954636574	0
р а с п о р я ж е н и о с ы з л э н	р а с п о р я ж е н и о с ы з л э н	0.0563599057495594	0
ш у г е к т ы т ӥ з	ш у г е к т ы т ӥ з	0.053777895867824554	0
м ы н ӥ с ь - в е т л ӥ с ь ё с л ы	м ы н ӥ с ь - в е т л ӥ с ь ё с л ы	0.05116388201713562	0
н ю л э с ч и о с л ы	н ю л э с ч и о с л ы	0.05133209750056267	0
в у т с к о	в у т с к о	0.0834161564707756	0
п о д с т р о ч н и к ъ ё с т ы	п о д с т р о ч н и к ъ ё с т ы	0.057049576193094254	0
т р а н с	т р а н с	0.06149527430534363	0
п е р е з	п е р е з	0.058854226022958755	0
с и н о д э	с и н о д э	0.05524647980928421	0
м и л и ц и о н е р ъ ё с	м и л и ц и о н е р ъ ё с	0.05697361007332802	0
п е р с о н а ж е н ы з	п е р с о н а ж е н ы з	0.05704230070114136	0
т у й н а с ь к о	т у й н а с ь к о	0.05619574338197708	0
о т к р ы т к а е	о т к р ы т к а е	0.058320511132478714	0
п и н а л м о з	п и н а л м о з	0.058337170630693436	0
ч у р ъ ё с а д	ч у р ъ ё с а д	0.058773741126060486	0
к у н л э с ь	к у н л э с ь	0.05599890276789665	0
с о ц и а л и с т и ч е с к о й	с о ц и а л и с т и ч е с к о й	0.05460925027728081	0
м а д ё с ы н	м а д ё с ы н	0.05442177876830101	0
с п о р т з а л	с п о р т з а л	0.05881226062774658	0
ф и г у р и с т ъ ё с л э н	ф и г у р и с т ъ ё с л э н	0.05646535009145737	0
п ы р с й и з	п ы р с й и з	0.054922591894865036	0
и з о л я т о р е з	и з о л я т о р е з	0.0565609484910965	0
б у с ы з ы л ы	б у с ы з ы л ы	0.052018292248249054	0
к а е н	к а й е н	1.0070563554763794	1
м ы ш к ы т ӥ м	м ы ш к ы т ӥ м	0.05223254859447479	0
ӵ у ж м у р т э н	ӵ у ж м у р т э н	0.05655466765165329	0
к о р т к е ч е р е	к о р т к е ч е р е	0.05829495191574097	0
б у р я т ъ ё с л э н	б у р я т ъ ё с л э н	0.05862310528755188	0
в и з н а л о	в и з н а л о	0.05753786116838455	0
ӝ о ж т ӥ с ь к ы л о	ӝ о ж т ӥ с ь к ы л о	0.050116028636693954	0
н и м б е р л э н	н и м б е р л э н	0.05683623626828194	0
г а ж а с ь к ы	г а ж а с ь к ы	0.053785160183906555	0
п а л л я н г е с	п а л л я н г е с	0.05423952266573906	0
д ӥ с я л л я с ь к о	д ӥ с я л л я с ь к о	0.11296239495277405	0
ш а ш ы	ш а ш ы	0.05640111118555069	0
с у р е т ъ ё с ы	с у р е т ъ ё с ы	0.05883682519197464	0
к ы л а с ь к о м	к ы л а с ь к о м	0.06815537065267563	0
ч у к и н с к и з	ч у к и н с к и з	0.05644410848617554	0
о б ъ я с н и т е л ь н о й	о б ъ я с н и т е л ь н о й	0.054325755685567856	0
а в т о н о м и ы с ь	а в т о н о м и ы с ь	0.05663884058594704	0
ӟ у з ь ы л о м	ӟ у з ь ы л о м ы	0.2424435317516327	1
р е ш е н и з э с	р е ш е н и з э с	0.05547529458999634	0
к е н ж ы т о з	к е н ж ы т о з	0.053919970989227295	0
м и л ь ы м л ы	м и л ь ы м л ы	0.050940658897161484	0
т у р и с т ъ ё с л ы	т у р и с т ъ ё с л ы	0.05876024439930916	0
п а с я с ь к е	п а с я с ь к е	0.05525080859661102	0
т е р м и н о л о г и е н	т е р м и н о л о г и е н	0.05729442089796066	0
й ӧ т с к ы л ӥ з ы	й ӧ т с к ы л ӥ з ы	0.051137760281562805	0
в е р а м	в е р а м	0.05747554823756218	0
к у т ы л ӥ с ь к ы	к у т ы л ӥ с ь к ы	0.05376574769616127	0
д а с я л л я	д а с я л л я	0.05237043648958206	0
п а й м и с ь к ы	п а й м и с ь к ы	0.05321819335222244	0
д ы р п у с ъ ё с ы н	д ы р п у с ъ ё с ы н	0.05818215012550354	0
ш о к ы ш т ы	ш о к ы ш т ы	0.05512566119432449	0
и р л а н д е ц ъ ё с	и р л а н д е ц ъ ё с	0.05743679776787758	0
у й и с ь к е м	у й и с ь к е м	0.05059819668531418	0
п у а д ы	п у а д ы	0.056152742356061935	0
л е с о в о з	л е с о в о з	0.055589575320482254	0
в и с ь ы л ы н ы	в и с ь ы л ы н ы	0.05126192420721054	0
э м о ц и о с ы з	э м о ц и о с ы з	0.05174194648861885	0
м а й к а е з	м а й к а е з	0.05670037493109703	0
д е л о з э	д е л о з э	0.05343859642744064	0
а в т о б у с	а в т о б у с	0.05983671173453331	0
в и з ь н о д ч и о с т ы	в и з ь н о д ч и о с т ы	0.05411145091056824	0
г е р ӟ е т ы н	г е р ӟ е т ы н	0.05482354387640953	0
п а с ь к ы т а т о	п а с ь к ы т а т о	0.05709592252969742	0
н о д ъ я	н о д ъ я	0.05403626337647438	0
э к с к у р с и о с т ы	э к с к у р с и о с т ы	0.055841051042079926	0
с в я з и с т л э н	с в я з и с т л э н	0.055478062480688095	0
а р т - э к с п е д и ц и ы с ь	а р т - э к с п е д и ц и ы с ь	0.054383713752031326	0
м у з а е з	м у з а е з	0.056885961443185806	0
