prediction	target	loss	dist
a l o s t õ h e	a l o t s õ h e	0.2661912441253662	2
. s i l m ä	. s i l m ä	0.0653962641954422	0
. t ä i h e	. t ä i h e	0.1253504753112793	0
h e r n e	h e r n e h	1.8022969961166382	1
t a r r i	t a r r i	0.05295860394835472	0
k e r g e h t	k e r g e t	0.8190024495124817	1
. v a r j a	. v a r j o	0.9382931590080261	1
t ü k k e	t ü k k e	0.05314021185040474	0
k u u	k u u	0.05409282073378563	0
. t a l l õ	t a l l õ	0.7044191360473633	1
. t ä ü d	t ä ü t	1.936515212059021	2
k a n d l i d õ	k a n d l i d õ	0.05232742801308632	0
k o g õ r o	k o g r õ	1.2116504907608032	2
t a r r õ	t a r õ	1.2936614751815796	1
t ü k k ü	t ü k k ü	0.05259068310260773	0
. a i g o	a o	3.851687431335449	3
s i l m e	s i l m ä	0.8921336531639099	1
e h i t ü i s i	e h i t ü i s i	0.05208752676844597	0
s õ t o	s õ t o	0.050294212996959686	0
r i t s ' k i l õ	r i t s ' k i l õ	0.05358428880572319	0
k u u : l i	k u b l a	0.27500471472740173	3
. v ä i t s i	. v ä i t s i	0.05502535402774811	0
k a n a r i g õ	k a n a r i k k õ	0.300278902053833	2
. a i g õ	. a i g õ	0.05377422273159027	0
ö i d	ö i d	0.04934932291507721	0
t ü k k e	t ü k k e	0.05264654755592346	0
. j a l g a	. j a l g a	0.05343560501933098	0
k e r g i l e	k e r g i l e	0.0530041828751564	0
l a i d	l a i õ h	0.7092902064323425	2
k a n a	k a n a	0.05442158505320549	0
p i n n e	p i n n e	0.049374744296073914	0
a l o s t	a l o m a s t	0.8381080031394958	2
a l o m a d s t õ	a l o m a s t õ	0.6704539656639099	1
k o t u s	k o t u s	0.14080296456813812	0
t a r r i l õ	t a r i l õ	0.972480297088623	1
a s õ m õ h e	a s õ m õ h e	0.05163184553384781	0
p i n i	p i n i	0.0664326399564743	0
k o m b i h e	k o m b i h e	0.055406972765922546	0
k a s k	k a s k	0.20804043114185333	0
p i n n e	p i n n e	0.05088307335972786	0
v a r '	v a r ' o	1.168756365776062	1
k a n d l õ h e	k a n d l õ h e	0.052550144493579865	0
k o o l i	k u u : l '	1.2528274059295654	4
k a n d l i l õ	k a n d l i l õ	0.05305097624659538	0
k u l d	k u l d	0.05146336555480957	0
t a r r d	t a r r õ	0.5523025393486023	1
. ö i h e	. ö i h e	0.07496916502714157	0
. a s j a	. a s j a	0.0554976761341095	0
. k a s k i h e	. k a s k i h e	0.05751946195960045	0
h õ r a k a t	h õ r a k a t	0.053480274975299835	0
k e r g i t	k e r g i t	0.051252882927656174	0
h e r n i h e	h e r n i h e	0.05412853881716728	0
k u u : l d e	k u u : l i	0.8886827230453491	2
. n a k l o l õ	n a g l o l õ	1.7150490283966064	2
v õ r o k õ i s i h e	v õ r o k õ i s i h e	0.05345499888062477	0
i ä	i k i l e	1.1006158590316772	4
k u l d s õ	k u l d s õ	0.0515662357211113	0
k i i : l i	k i i : l i	0.05289788916707039	0
ü ü : h ü	ü ü : h e	1.171118140220642	1
e h i t ü s t	e h i t ü s t	0.05093800649046898	0
k e e l e	k e e l i l e	0.2969069182872772	2
h a m m a s	h a m m a s	0.0529877245426178	0
. s u h v l i	. s u h v l i	0.05849401652812958	0
p u h m õ	p u h m õ	0.0530543327331543	0
k a n a r i k k õ	k a n a r i k k õ	0.0787503570318222	0
l ä t t i t	l ä t t i t	0.0536002479493618	0
. s ä r g i	. s ä r g i	0.054970841854810715	0
. s u h v l i h e	. s u h v l i h e	0.05667569115757942	0
i k i	i k k i	1.3539574146270752	1
k a n a r i g a	k a n a r i g u	0.7583320736885071	1
t e r v ü i i i d	t e r v ü i d	0.7381504774093628	2
k ä s i	k ä s i	0.1389516294002533	0
t ü t r i t	t ü t r i t	0.05182125046849251	0
. k a s k a t	. k a s k a t	0.05548910051584244	0
. n a k l a	n a g l a	1.9720653295516968	2
s õ t a	s õ d a	1.3160120248794556	1
l a i d õ h e	l a i d õ h e	0.051688555628061295	0
e l ä j ä	e l ä j ä	0.0519748218357563	0
t ü t r i h e	t ü t r i h e	0.05367995426058769	0
. j a l g o	. j a l g o	0.05258733779191971	0
n a k l	n a g õ l	0.5088077187538147	2
. k a n d õ	. k a n d õ	0.05472173914313316	0
m a g õ q	m a k õ	1.483349323272705	2
. n a k l o	. n a k l o	0.05575668439269066	0
k i i : l i	k i i : l '	0.8876461386680603	1
. k u i h e	. k u i h õ	0.9586986899375916	1
. k o k r õ	. k o k r õ	0.07385262101888657	0
` t e r v ü i d e	t e r v ü i d e	0.4742133319377899	1
h a i n a	h a i n a	0.05329554155468941	0
t ü k k e	t ü k ü	1.336674451828003	2
r e b ä s i d e	r e b ä s i d e	0.05210574343800545	0
. t a r r i	t a r r i	0.8899043202400208	1
k o g õ r i l õ	k o g r i l õ	0.8150554895401001	1
k a n n o	k a n n o	0.05212241783738136	0
k a n d l õ	k a n n õ l '	1.8573417663574219	3
m a g õ h õ	m a k õ	1.452531099319458	3
. v ä i t s i	. v ä i t s i	0.05541233718395233	0
h e r n i t	h e r n i t	0.05200047418475151	0
i k ä	i k k ä	1.3457099199295044	1
k o t u s õ h e	k o t u s s õ h e	0.9714845418930054	1
l a i d i h e	l a i d i h e	0.05327204614877701	0
k a n a r i k a h e	k a n a r i k k u	1.4149096012115479	3
v a r i	v a r i	0.052787166088819504	0
